ID заказа,Дата отправки,Расстояние (км),Опыт водителя (лет),Вес груза (кг),Тип груза,Погодные условия,Сезон,Время суток,День недели,Задержка доставки (дней),Группа опыта
OD19980,2022-05-20,1987,35,26335,Замороженный,Ясно,Весна,Ночь,Пятница,5,30+
OR77309,2022-05-20,493,16,14390,Обычный,Дождь,Весна,День,Пятница,0,11-20
OD44199,2022-05-21,1149,12,15199,Обычный,Дождь,Весна,Ночь,Суббота,0,11-20
OD55374,2022-05-21,654,10,15462,Обычный,Ясно,Весна,Ночь,Суббота,0,6-10
DL29508,2022-05-21,667,10,15923,Замороженный,Ясно,Весна,День,Суббота,0,6-10
OR29648,2022-05-22,1130,13,7998,Обычный,Ясно,Весна,Вечер,Воскресенье,0,11-20
OD44808,2022-05-22,489,15,7602,Хрупкий,Ясно,Весна,Ночь,Воскресенье,0,11-20
OR91538,2022-05-23,1091,8,12070,Обычный,Ясно,Весна,Вечер,Понедельник,0,6-10
OR23441,2022-05-23,1364,23,23179,Обычный,Дождь,Весна,Ночь,Понедельник,2,21-30
DL81280,2022-05-23,1384,16,18993,Обычный,Дождь,Весна,Вечер,Понедельник,1,11-20
OR75940,2022-05-23,1247,28,22043,Обычный,Ясно,Весна,Вечер,Понедельник,3,21-30
OR79827,2022-05-24,1707,20,22187,Обычный,Ясно,Весна,Вечер,Вторник,3,11-20
OD30636,2022-05-24,712,14,17027,Опасный,Туман,Весна,День,Вторник,0,11-20
DL17071,2022-05-24,872,7,16567,Опасный,Ясно,Весна,Утро,Вторник,0,6-10
DL13345,2022-05-24,898,19,21210,Опасный,Туман,Весна,Вечер,Вторник,1,11-20
DL27431,2022-05-25,378,11,8928,Опасный,Дождь,Весна,Вечер,Среда,0,11-20
DL74548,2022-05-25,1114,8,12373,Замороженный,Ясно,Весна,Ночь,Среда,0,6-10
DL94819,2022-05-25,1557,26,24517,Хрупкий,Туман,Весна,Утро,Среда,3,21-30
OD96915,2022-05-25,731,16,13101,Опасный,Ясно,Весна,Ночь,Среда,0,11-20
OR63664,2022-05-25,1054,13,9917,Замороженный,Дождь,Весна,Вечер,Среда,0,11-20
DL64888,2022-05-25,819,11,6875,Замороженный,Ясно,Весна,Ночь,Среда,0,11-20
OD98252,2022-05-26,791,12,14415,Обычный,Ясно,Весна,Вечер,Четверг,0,11-20
OD35923,2022-05-26,1363,18,22313,Обычный,Туман,Весна,Ночь,Четверг,2,11-20
OR37745,2022-05-26,584,9,11081,Хрупкий,Туман,Весна,Вечер,Четверг,0,6-10
OR48179,2022-05-26,452,14,11611,Обычный,Ясно,Весна,День,Четверг,0,11-20
OD55476,2022-05-26,934,19,15511,Хрупкий,Ясно,Весна,Вечер,Четверг,1,11-20
OD19296,2022-05-27,466,8,16219,Хрупкий,Дождь,Весна,Вечер,Пятница,0,6-10
OR27898,2022-05-27,1314,17,13970,Опасный,Ясно,Весна,Утро,Пятница,1,11-20
OR94058,2022-05-27,1537,27,23639,Обычный,Туман,Весна,Вечер,Пятница,3,21-30
DL43151,2022-05-28,1215,14,14664,Обычный,Ясно,Весна,День,Суббота,0,11-20
OR26519,2022-05-28,692,,18135,Обычный,Ясно,Весна,Утро,Суббота,0,
DL29401,2022-05-28,646,13,13002,Хрупкий,Ясно,Весна,Ночь,Суббота,0,11-20
DL92099,2022-05-28,1104,16,13061,Замороженный,Ясно,Весна,Утро,Суббота,1,11-20
OR66188,2022-05-28,1209,16,8095,Обычный,Ясно,Весна,Утро,Суббота,0,11-20
DL74361,2022-05-28,754,10,8384,Хрупкий,Дождь,Весна,Утро,Суббота,0,6-10
OR39238,2022-05-29,2112,26,23596,Обычный,Ясно,Весна,Вечер,Воскресенье,4,21-30
OD96855,2022-05-29,411,14,8354,Хрупкий,Снег,Весна,День,Воскресенье,0,11-20
OD22578,2022-05-29,755,9,11157,Обычный,Дождь,Весна,Вечер,Воскресенье,0,6-10
DL21833,2022-05-29,407,10,7133,Обычный,Ясно,Весна,Утро,Воскресенье,0,6-10
DL46749,2022-05-29,450,13,12745,Опасный,Дождь,Весна,Вечер,Воскресенье,0,11-20
OR85086,2022-05-29,1052,16,19691,Замороженный,Ясно,Весна,Вечер,Воскресенье,2,11-20
OD56454,2022-05-30,451,11,15755,Хрупкий,Ясно,Весна,Вечер,Понедельник,0,11-20
OR30867,2022-05-30,599,13,14425,Обычный,Дождь,Весна,Утро,Понедельник,0,11-20
OR70605,2022-05-30,1871,26,31800,Обычный,Ясно,Весна,Утро,Понедельник,3,21-30
OR30489,2022-05-30,1051,10,10696,Опасный,Ясно,Весна,День,Понедельник,0,6-10
DL72147,2022-05-30,520,15,6886,Хрупкий,Ясно,Весна,Утро,Понедельник,0,11-20
OD99844,2022-05-31,1439,19,14059,Опасный,Ясно,Весна,Ночь,Вторник,1,11-20
DL84541,2022-05-31,910,15,12129,Обычный,Туман,Весна,Утро,Вторник,0,11-20
OR41144,2022-05-31,1314,16,17412,Замороженный,Туман,Весна,Вечер,Вторник,1,11-20
OR75426,2022-06-01,922,15,22540,Замороженный,Ясно,Лето,Утро,Среда,2,11-20
OR53420,2022-06-01,605,10,13944,Хрупкий,Ясно,Лето,Вечер,Среда,0,6-10
OD73920,2022-06-01,1494,12,20373,Хрупкий,Шторм,Лето,Ночь,Среда,1,11-20
DL51715,2022-06-01,481,14,6721,Обычный,Дождь,Лето,День,Среда,0,11-20
DL12486,2022-06-02,931,14,13510,Опасный,Ясно,Лето,День,Четверг,0,11-20
DL41016,2022-06-02,505,15,13337,Хрупкий,Дождь,Лето,Ночь,Четверг,0,11-20
OD45162,2022-06-02,856,,19916,Замороженный,Шторм,Лето,День,Четверг,2,
OD98340,2022-06-03,2152,28,31703,Обычный,Ясно,Лето,Вечер,Пятница,5,21-30
DL60914,2022-06-03,448,,13038,Хрупкий,Дождь,Лето,Ночь,Пятница,0,
OD83495,2022-06-03,719,10,10768,Опасный,Ясно,Лето,Вечер,Пятница,0,6-10
OD54266,2022-06-03,453,11,10637,Хрупкий,Ясно,Лето,Вечер,Пятница,0,11-20
OR19687,2022-06-03,620,16,15518,Обычный,Ясно,Лето,Утро,Пятница,0,11-20
OD54897,2022-06-03,986,14,12644,Хрупкий,Ясно,Лето,День,Пятница,0,11-20
OD14467,2022-06-04,1084,8,15415,Опасный,Шторм,Лето,Ночь,Суббота,0,6-10
OR88324,2022-06-04,1211,22,19370,Обычный,Ясно,Лето,Вечер,Суббота,2,21-30
OD75597,2022-06-04,896,10,13394,Хрупкий,Ясно,Лето,Вечер,Суббота,0,6-10
OD88495,2022-06-04,390,12,11719,Хрупкий,Ясно,Лето,Вечер,Суббота,0,11-20
OR75077,2022-06-05,877,16,13526,Хрупкий,Ясно,Лето,Ночь,Воскресенье,0,11-20
OR30736,2022-06-05,1168,21,22573,Обычный,Дождь,Лето,Вечер,Воскресенье,2,21-30
OR27182,2022-06-05,1017,12,7136,Обычный,Ясно,Лето,День,Воскресенье,0,11-20
DL35663,2022-06-05,896,11,12058,Опасный,Туман,Лето,Вечер,Воскресенье,0,11-20
DL70516,2022-06-06,1639,32,32723,Замороженный,Ясно,Лето,День,Понедельник,5,30+
DL63195,2022-06-06,1006,22,19535,Обычный,Дождь,Лето,День,Понедельник,2,21-30
DL54391,2022-06-06,602,10,7024,Обычный,Ясно,Лето,Ночь,Понедельник,0,6-10
OD22667,2022-06-06,593,9,7197,Обычный,Ясно,Лето,Утро,Понедельник,0,6-10
OR20181,2022-06-06,678,13,7481,Опасный,Дождь,Лето,День,Понедельник,0,11-20
OR28097,2022-06-06,1387,,27670,Хрупкий,Шторм,Лето,День,Понедельник,3,
OR79292,2022-06-07,1218,14,13973,Обычный,Шторм,Лето,День,Вторник,0,11-20
OR70252,2022-06-08,1250,,19931,Обычный,Ясно,Лето,Ночь,Среда,2,
DL14095,2022-06-08,791,20,18702,Замороженный,Ясно,Лето,Вечер,Среда,1,11-20
OR17066,2022-06-08,1075,12,8655,Замороженный,Ясно,Лето,День,Среда,0,11-20
DL26324,2022-06-09,599,9,14528,Хрупкий,Дождь,Лето,День,Четверг,0,6-10
OD66733,2022-06-09,650,16,10579,Хрупкий,Шторм,Лето,Вечер,Четверг,0,11-20
OD16947,2022-06-09,885,9,8990,Опасный,Ясно,Лето,Утро,Четверг,0,6-10
DL74557,2022-06-09,864,13,16916,Хрупкий,Ясно,Лето,День,Четверг,0,11-20
OD81354,2022-06-09,477,15,7974,Хрупкий,,Лето,Ночь,Четверг,0,11-20
DL10783,2022-06-10,1603,21,16028,Обычный,Ясно,Лето,День,Пятница,2,21-30
OD84466,2022-06-10,400,15,15531,Опасный,Ясно,Лето,Вечер,Пятница,0,11-20
OD90727,2022-06-10,609,13,9919,Обычный,Шторм,Лето,Утро,Пятница,0,11-20
DL77040,2022-06-10,595,10,14674,Замороженный,Ясно,Лето,Ночь,Пятница,0,6-10
OD17489,2022-06-10,970,16,12413,Опасный,Ясно,Лето,Ночь,Пятница,0,11-20
OD23673,2022-06-10,744,10,7637,Обычный,Дождь,Лето,День,Пятница,0,6-10
OD21954,2022-06-11,989,11,15790,Хрупкий,Ясно,Лето,Вечер,Суббота,0,11-20
OR85994,2022-06-11,619,13,15131,Обычный,Дождь,Лето,Вечер,Суббота,0,11-20
OR14337,2022-06-11,1773,23,24741,Хрупкий,Ясно,Лето,Вечер,Суббота,3,21-30
OD89442,2022-06-11,1109,8,7853,Обычный,Ясно,Лето,Ночь,Суббота,0,6-10
DL39183,2022-06-11,916,14,7605,Обычный,Шторм,Лето,Вечер,Суббота,0,11-20
DL76088,2022-06-11,1407,21,24766,Обычный,Ясно,Лето,Вечер,Суббота,2,21-30
OR86693,2022-06-11,881,10,11786,Хрупкий,Ясно,Лето,Утро,Суббота,0,6-10
DL85720,2022-06-12,476,14,13519,Опасный,Дождь,Лето,День,Воскресенье,0,11-20
OD94246,2022-06-12,437,13,6735,Обычный,Туман,Лето,День,Воскресенье,0,11-20
OR33524,2022-06-12,815,13,11476,Опасный,Ясно,Лето,Утро,Воскресенье,0,11-20
OR96466,2022-06-12,1567,25,28595,Опасный,Шторм,Лето,День,Воскресенье,4,21-30
OR59443,2022-06-13,1119,19,16783,Опасный,Дождь,Лето,Вечер,Понедельник,1,11-20
OR45899,2022-06-13,672,15,15882,Хрупкий,Туман,Лето,Вечер,Понедельник,1,11-20
DL59501,2022-06-13,1155,11,15969,Замороженный,Дождь,Лето,День,Понедельник,1,11-20
OD87665,2022-06-13,1015,13,12512,Обычный,Шторм,Лето,День,Понедельник,0,11-20
OD42297,2022-06-13,1171,8,19202,Хрупкий,Ясно,Лето,Вечер,Понедельник,0,6-10
OD87447,2022-06-13,1097,15,9726,Хрупкий,Ясно,Лето,День,Понедельник,0,11-20
OD43704,2022-06-14,488,13,16990,Замороженный,Дождь,Лето,Утро,Вторник,0,11-20
DL61125,2022-06-14,504,13,7759,Обычный,Дождь,Лето,Утро,Вторник,0,11-20
OR23739,2022-06-14,1685,16,20509,Опасный,Ясно,Лето,Вечер,Вторник,2,11-20
OR71179,2022-06-14,1760,34,31750,Опасный,Ясно,Лето,День,Вторник,5,30+
OR20559,2022-06-14,1015,9,11103,Опасный,Дождь,Лето,Вечер,Вторник,0,6-10
OR95008,2022-06-14,1100,23,22151,Замороженный,Дождь,Лето,День,Вторник,2,21-30
DL36126,2022-06-16,1236,20,17605,Опасный,Ясно,Лето,Вечер,Четверг,1,11-20
DL43335,2022-06-16,1239,28,25695,Замороженный,Ясно,Лето,Утро,Четверг,3,21-30
DL80057,2022-06-16,1572,24,26335,Замороженный,Дождь,Лето,День,Четверг,3,21-30
DL10029,2022-06-16,1136,18,11627,Замороженный,Ясно,Лето,Ночь,Четверг,1,11-20
OD59614,2022-06-17,665,10,13192,Опасный,Ясно,Лето,Утро,Пятница,0,6-10
OR80578,2022-06-18,955,8,8536,Хрупкий,Дождь,Лето,Ночь,Суббота,0,6-10
OD75100,2022-06-18,684,11,6377,Обычный,Дождь,Лето,Вечер,Суббота,0,11-20
OD94278,2022-06-18,627,14,6502,Опасный,Ясно,Лето,День,Суббота,0,11-20
DL65616,2022-06-18,1184,9,12166,Обычный,Ясно,Лето,Ночь,Суббота,0,6-10
OR77240,2022-06-19,1418,13,20351,Обычный,Ясно,Лето,Ночь,Воскресенье,1,11-20
OD61539,2022-06-19,1325,22,18935,Обычный,Туман,Лето,День,Воскресенье,2,21-30
DL89344,2022-06-20,1534,23,16805,Обычный,Ясно,Лето,День,Понедельник,2,21-30
DL10611,2022-06-20,833,16,14555,Обычный,Ясно,Лето,Утро,Понедельник,1,11-20
OR45584,2022-06-21,403,9,11298,Опасный,Ясно,Лето,Ночь,Вторник,0,6-10
DL80575,2022-06-22,452,11,10468,Обычный,Ясно,Лето,Ночь,Среда,0,11-20
DL32759,2022-06-22,1000,11,16605,Обычный,Шторм,Лето,Вечер,Среда,1,11-20
OD21856,2022-06-22,706,15,6839,Хрупкий,Шторм,Лето,Вечер,Среда,0,11-20
DL61726,2022-06-23,634,8,7626,Опасный,Дождь,Лето,Утро,Четверг,0,6-10
OD80846,2022-06-23,1644,22,26340,Замороженный,Дождь,Лето,Вечер,Четверг,3,21-30
DL38219,2022-06-23,472,13,6963,Опасный,Ясно,Лето,Ночь,Четверг,0,11-20
OD53656,2022-06-23,638,13,9748,Замороженный,Дождь,Лето,Утро,Четверг,0,11-20
OD49601,2022-06-23,1073,23,16147,Хрупкий,Дождь,Лето,День,Четверг,2,21-30
OD88827,2022-06-23,605,15,16230,Опасный,Ясно,Лето,Ночь,Четверг,0,11-20
DL53280,2022-06-23,1573,21,20730,Опасный,Ясно,Лето,Вечер,Четверг,2,21-30
OR40605,2022-06-24,1206,16,10180,Опасный,Ясно,Лето,День,Пятница,1,11-20
DL31240,2022-06-24,958,16,17669,Хрупкий,Ясно,Лето,День,Пятница,2,11-20
OR50449,2022-06-24,849,13,15333,Опасный,Дождь,Лето,Ночь,Пятница,0,11-20
OR73541,2022-06-24,555,8,7722,Хрупкий,Ясно,Лето,Утро,Пятница,0,6-10
DL76177,2022-06-25,1098,15,10497,Обычный,Ясно,Лето,День,Суббота,0,11-20
OD93133,2022-06-25,1673,27,24067,Замороженный,Ясно,Лето,Ночь,Суббота,3,21-30
OD47126,2022-06-25,551,10,13665,Обычный,Шторм,Лето,Ночь,Суббота,0,6-10
OD73638,2022-06-25,720,,9056,Обычный,Дождь,Лето,Утро,Суббота,0,
OD40986,2022-06-26,966,14,6259,Опасный,Ясно,Лето,Ночь,Воскресенье,0,11-20
OD47209,2022-06-26,1144,,17432,Опасный,Ясно,Лето,Ночь,Воскресенье,2,
OD40186,2022-06-26,429,13,7194,Обычный,Дождь,Лето,Утро,Воскресенье,0,11-20
DL38860,2022-06-26,540,10,10107,Обычный,Ясно,Лето,Вечер,Воскресенье,0,6-10
OD95533,2022-06-27,589,11,13710,Обычный,Ясно,Лето,День,Понедельник,0,11-20
DL34995,2022-06-27,1284,20,24958,Замороженный,Шторм,Лето,День,Понедельник,3,11-20
OD83428,2022-06-27,551,8,6612,Обычный,Ясно,Лето,День,Понедельник,0,6-10
OD71746,2022-06-27,565,8,6690,Обычный,Ясно,Лето,Вечер,Понедельник,0,6-10
DL39998,2022-06-27,445,10,10423,Замороженный,Шторм,Лето,День,Понедельник,0,6-10
DL79596,2022-06-28,854,20,21095,Хрупкий,Ясно,Лето,День,Вторник,2,11-20
DL83877,2022-06-28,1042,15,11156,Обычный,Дождь,Лето,День,Вторник,0,11-20
DL99207,2022-06-28,768,16,10444,Замороженный,Ясно,Лето,Вечер,Вторник,0,11-20
DL73030,2022-06-28,1242,12,12666,Обычный,Ясно,Лето,Вечер,Вторник,0,11-20
OR70133,2022-06-28,419,16,6832,Хрупкий,Ясно,Лето,Вечер,Вторник,0,11-20
OR98826,2022-06-29,668,10,11458,Обычный,Ясно,Лето,Вечер,Среда,0,6-10
OR73023,2022-06-29,608,13,12667,Хрупкий,Туман,Лето,День,Среда,0,11-20
OR96734,2022-06-29,1303,21,17898,Опасный,Дождь,Лето,Вечер,Среда,2,21-30
OD67621,2022-06-29,808,10,10660,Опасный,Ясно,Лето,Вечер,Среда,0,6-10
OD17740,2022-06-30,570,15,15095,Хрупкий,Дождь,Лето,Утро,Четверг,0,11-20
OR66594,2022-06-30,384,8,7370,Обычный,Ясно,Лето,Утро,Четверг,0,6-10
OR85474,2022-06-30,1112,,13159,Опасный,Дождь,Лето,Вечер,Четверг,0,
DL25053,2022-07-01,1186,19,13573,Обычный,Ясно,Лето,День,Пятница,1,11-20
DL40185,2022-07-01,975,15,17901,Обычный,Ясно,Лето,Ночь,Пятница,2,11-20
DL34259,2022-07-01,1329,20,20207,Хрупкий,Дождь,Лето,Утро,Пятница,2,11-20
DL65948,2022-07-02,1474,28,27483,Опасный,Ясно,Лето,Утро,Суббота,4,21-30
OD36010,2022-07-02,1565,22,27808,Опасный,Дождь,Лето,Вечер,Суббота,3,21-30
DL12265,2022-07-02,833,8,11738,Хрупкий,Ясно,Лето,Вечер,Суббота,0,6-10
OD25141,2022-07-02,985,8,14003,Опасный,Ясно,Лето,Утро,Суббота,0,6-10
OD62141,2022-07-02,607,10,11399,Опасный,Ясно,Лето,Утро,Суббота,0,6-10
OD49132,2022-07-02,957,8,13232,Хрупкий,Ясно,Лето,День,Суббота,0,6-10
OR96119,2022-07-03,1234,21,22214,Замороженный,Ясно,Лето,Вечер,Воскресенье,3,21-30
DL30102,2022-07-03,744,12,11993,Обычный,Шторм,Лето,Утро,Воскресенье,0,11-20
OR26032,2022-07-03,676,14,10491,Опасный,Дождь,Лето,Ночь,Воскресенье,0,11-20
DL36638,2022-07-03,1289,17,18793,Обычный,,Лето,Вечер,Воскресенье,2,11-20
OD50978,2022-07-03,750,8,12543,Хрупкий,Дождь,Лето,Ночь,Воскресенье,0,6-10
OD76160,2022-07-04,1047,10,10148,Опасный,Ясно,Лето,Вечер,Понедельник,0,6-10
DL19279,2022-07-04,2063,,22511,Обычный,Дождь,Лето,Утро,Понедельник,4,
DL76989,2022-07-04,663,11,6523,Обычный,Ясно,Лето,Утро,Понедельник,0,11-20
OD52329,2022-07-04,1088,15,6588,Хрупкий,Ясно,Лето,Утро,Понедельник,0,11-20
OR57409,2022-07-04,1000,15,8223,Опасный,,Лето,День,Понедельник,0,11-20
OR16096,2022-07-04,955,8,9666,Опасный,Ясно,Лето,День,Понедельник,0,6-10
DL10325,2022-07-05,1082,13,8447,Опасный,Дождь,Лето,Вечер,Вторник,0,11-20
OD43654,2022-07-05,528,15,16901,Обычный,Ясно,Лето,Утро,Вторник,0,11-20
DL38438,2022-07-06,689,14,10437,Замороженный,Ясно,Лето,День,Среда,0,11-20
OR81393,2022-07-06,889,,19911,Хрупкий,Ясно,Лето,Утро,Среда,1,
OR31127,2022-07-06,673,10,10351,Обычный,Ясно,Лето,Утро,Среда,0,6-10
DL54729,2022-07-07,688,18,15326,Обычный,Шторм,Лето,Вечер,Четверг,1,11-20
DL41978,2022-07-07,1165,13,11236,Обычный,Шторм,Лето,Ночь,Четверг,0,11-20
DL51308,2022-07-07,1084,8,10804,Хрупкий,Ясно,Лето,Ночь,Четверг,0,6-10
OR94956,2022-07-07,1333,11,15530,Замороженный,Ясно,Лето,Вечер,Четверг,1,11-20
OD40114,2022-07-07,831,12,15087,Хрупкий,Дождь,Лето,Ночь,Четверг,0,11-20
DL94081,2022-07-07,1419,23,14112,Замороженный,Туман,Лето,День,Четверг,2,21-30
DL50251,2022-07-07,1080,8,14938,Хрупкий,Ясно,Лето,Ночь,Четверг,0,6-10
OD81673,2022-07-07,800,13,14754,Обычный,Ясно,Лето,Ночь,Четверг,0,11-20
OR15189,2022-07-08,1519,21,25062,Опасный,Ясно,Лето,День,Пятница,3,21-30
OR62223,2022-07-08,1033,13,16016,Опасный,Дождь,Лето,Утро,Пятница,1,11-20
DL67183,2022-07-08,551,10,17359,Опасный,Дождь,Лето,Вечер,Пятница,0,6-10
DL97586,2022-07-08,1100,12,17061,Замороженный,Дождь,Лето,Утро,Пятница,0,11-20
DL67623,2022-07-08,731,13,12597,Хрупкий,Шторм,Лето,Вечер,Пятница,1,11-20
OR92203,2022-07-09,1336,18,21843,Опасный,Дождь,Лето,День,Суббота,2,11-20
OR52713,2022-07-09,959,11,11888,Опасный,Ясно,Лето,День,Суббота,0,11-20
DL78557,2022-07-10,938,10,6916,Опасный,Дождь,Лето,Вечер,Воскресенье,0,6-10
OD78397,2022-07-10,1015,13,6336,Опасный,Ясно,Лето,Вечер,Воскресенье,0,11-20
OR96443,2022-07-11,424,11,14716,Обычный,Туман,Лето,Вечер,Понедельник,0,11-20
OD93894,2022-07-11,757,14,6889,Обычный,Ясно,Лето,Утро,Понедельник,0,11-20
DL80217,2022-07-11,950,,10792,Обычный,Ясно,Лето,Утро,Понедельник,1,
DL40378,2022-07-11,928,14,11715,Обычный,Туман,Лето,Вечер,Понедельник,1,11-20
OD13546,2022-07-11,528,11,8307,Обычный,Ясно,Лето,Утро,Понедельник,0,11-20
DL61006,2022-07-12,600,14,7091,Обычный,Ясно,Лето,Ночь,Вторник,0,11-20
DL20721,2022-07-12,1057,18,14318,Обычный,Ясно,Лето,Вечер,Вторник,1,11-20
OR80406,2022-07-12,1085,11,15098,Обычный,Ясно,Лето,Ночь,Вторник,0,11-20
OR59330,2022-07-13,1008,12,12323,Обычный,Ясно,Лето,Вечер,Среда,0,11-20
DL60063,2022-07-13,642,15,10434,Обычный,Туман,Лето,Утро,Среда,0,11-20
DL29398,2022-07-13,956,14,10523,Замороженный,Ясно,Лето,День,Среда,0,11-20
OD20818,2022-07-13,898,10,12381,Хрупкий,Шторм,Лето,Ночь,Среда,0,6-10
OD40320,2022-07-14,1458,,23707,Обычный,Туман,Лето,Ночь,Четверг,2,
DL36313,2022-07-15,854,14,7063,Обычный,Дождь,Лето,Вечер,Пятница,0,11-20
OD64122,2022-07-15,1265,16,13387,Обычный,Ясно,Лето,Ночь,Пятница,0,11-20
OD24883,2022-07-15,1917,28,22063,Хрупкий,Туман,Лето,День,Пятница,4,21-30
DL92730,2022-07-15,783,8,13085,Замороженный,Ясно,Лето,День,Пятница,0,6-10
DL20212,2022-07-15,874,16,11139,Обычный,Ясно,Лето,Ночь,Пятница,1,11-20
OR50428,2022-07-15,703,8,9834,Обычный,Ясно,Лето,Ночь,Пятница,0,6-10
OR48043,2022-07-15,412,10,11363,Опасный,Ясно,Лето,Вечер,Пятница,0,6-10
OD74881,2022-07-15,1158,25,21565,Опасный,Ясно,Лето,День,Пятница,3,21-30
OR77925,2022-07-16,796,13,20979,Обычный,Ясно,Лето,День,Суббота,1,11-20
OD11946,2022-07-16,400,13,11744,Опасный,Шторм,Лето,Ночь,Суббота,0,11-20
DL61607,2022-07-16,515,14,9679,Хрупкий,Дождь,Лето,Утро,Суббота,0,11-20
OR43914,2022-07-16,513,16,18786,Обычный,Ясно,Лето,День,Суббота,0,11-20
OR59880,2022-07-16,872,15,19734,Опасный,Ясно,Лето,Ночь,Суббота,2,11-20
OD42208,2022-07-17,1617,23,26889,Обычный,Дождь,Лето,Утро,Воскресенье,3,21-30
OR28511,2022-07-17,1420,23,16338,Обычный,Ясно,Лето,Утро,Воскресенье,2,21-30
OD57466,2022-07-17,1360,,25267,Обычный,Дождь,Лето,День,Воскресенье,2,
OD40858,2022-07-17,1464,22,19397,Обычный,Ясно,Лето,Утро,Воскресенье,2,21-30
OR14157,2022-07-18,790,15,7600,Хрупкий,Шторм,Лето,Вечер,Понедельник,0,11-20
OD58298,2022-07-18,840,9,8395,Обычный,Ясно,Лето,День,Понедельник,0,6-10
OR42034,2022-07-18,1640,36,29115,Замороженный,Ясно,Лето,Вечер,Понедельник,5,30+
OR43683,2022-07-18,405,10,7543,Обычный,Ясно,Лето,Утро,Понедельник,0,6-10
OR89092,2022-07-18,1217,27,28399,Обычный,Ясно,Лето,День,Понедельник,3,21-30
OD12344,2022-07-19,1655,25,28849,Хрупкий,Дождь,Лето,День,Вторник,3,21-30
DL99066,2022-07-20,1267,20,24213,Замороженный,Ясно,Лето,Утро,Среда,3,11-20
OR24504,2022-07-20,985,13,12363,Обычный,Дождь,Лето,День,Среда,0,11-20
OR58880,2022-07-20,1038,11,13812,Хрупкий,Шторм,Лето,Вечер,Среда,0,11-20
OR27408,2022-07-20,1924,30,27349,Опасный,Ясно,Лето,Ночь,Среда,4,21-30
DL79881,2022-07-20,939,8,10328,Обычный,Ясно,Лето,Вечер,Среда,0,6-10
OR28493,2022-07-20,852,22,23442,Опасный,Дождь,Лето,Вечер,Среда,2,21-30
OR86472,2022-07-20,721,9,9821,Хрупкий,Дождь,Лето,Вечер,Среда,0,6-10
DL71062,2022-07-20,637,8,11116,Опасный,Дождь,Лето,Вечер,Среда,0,6-10
OR85613,2022-07-20,840,10,13511,Опасный,Дождь,Лето,День,Среда,0,6-10
OD13309,2022-07-21,1362,16,19803,Хрупкий,Дождь,Лето,Вечер,Четверг,1,11-20
DL28422,2022-07-21,669,14,9114,Хрупкий,Ясно,Лето,Утро,Четверг,0,11-20
DL47365,2022-07-21,778,12,8078,Опасный,Ясно,Лето,День,Четверг,0,11-20
DL56646,2022-07-22,1108,16,11739,Хрупкий,Ясно,Лето,Утро,Пятница,0,11-20
OD65766,2022-07-22,564,15,16652,Обычный,Ясно,Лето,Утро,Пятница,0,11-20
OR26128,2022-07-22,921,,6506,Обычный,Ясно,Лето,День,Пятница,0,
DL48130,2022-07-23,521,,13858,Хрупкий,Ясно,Лето,День,Суббота,0,
DL31142,2022-07-23,575,12,14871,Обычный,Ясно,Лето,Ночь,Суббота,0,11-20
OR40191,2022-07-23,774,14,8423,Опасный,Шторм,Лето,Утро,Суббота,0,11-20
OR66688,2022-07-23,1093,12,11259,Обычный,Ясно,Лето,День,Суббота,1,11-20
OR72576,2022-07-23,1064,16,7235,Хрупкий,Ясно,Лето,Утро,Суббота,0,11-20
DL48495,2022-07-23,1104,9,13288,Обычный,Дождь,Лето,Утро,Суббота,0,6-10
OD98671,2022-07-24,418,15,10269,Замороженный,Дождь,Лето,Утро,Воскресенье,0,11-20
OR94227,2022-07-24,835,12,17080,Хрупкий,Ясно,Лето,День,Воскресенье,0,11-20
OR63650,2022-07-24,711,9,12883,Опасный,Ясно,Лето,Утро,Воскресенье,0,6-10
OR14367,2022-07-25,579,9,9545,Замороженный,,Лето,Вечер,Понедельник,0,6-10
DL56153,2022-07-25,824,12,14460,Опасный,Шторм,Лето,День,Понедельник,0,11-20
OR49218,2022-07-25,708,12,11268,Обычный,Ясно,Лето,Утро,Понедельник,0,11-20
OR14577,2022-07-25,542,11,12409,Обычный,Ясно,Лето,Ночь,Понедельник,0,11-20
OD85057,2022-07-25,376,11,11353,Опасный,Ясно,Лето,Утро,Понедельник,0,11-20
OR21610,2022-07-25,384,16,10569,Опасный,Шторм,Лето,День,Понедельник,0,11-20
DL87127,2022-07-25,401,7,16985,Опасный,Ясно,Лето,Ночь,Понедельник,0,6-10
OR96575,2022-07-25,774,,12936,Обычный,Дождь,Лето,День,Понедельник,0,
DL75202,2022-07-26,1042,10,8342,Опасный,Дождь,Лето,Утро,Вторник,0,6-10
DL55124,2022-07-26,687,12,17144,Опасный,Шторм,Лето,День,Вторник,0,11-20
OR43212,2022-07-26,797,11,9991,Замороженный,Ясно,Лето,Утро,Вторник,0,11-20
DL21583,2022-07-27,920,17,14629,Хрупкий,Дождь,Лето,День,Среда,1,11-20
OD18896,2022-07-27,832,10,6785,Замороженный,Ясно,Лето,Утро,Среда,0,6-10
DL43285,2022-07-27,1444,22,23010,Обычный,Ясно,Лето,Ночь,Среда,3,21-30
OR75560,2022-07-27,934,16,11565,Опасный,Дождь,Лето,День,Среда,0,11-20
