ID ТС,Дата записи,Пробег (км),Возраст ТС (лет),Количество ТО за год,Загрузка (%),Средняя скорость (км/ч),Средняя нагрузка двигателя (%),Поломка в ближайший месяц
VEH41312,2021-08-29,585194.0,15.0,1.0,93.6,33.0,67.0,0
VEH55150,2021-08-29,991414.0,18.0,4.0,89.8,59.0,79.0,1
VEH84909,2021-08-30,718797.0,19.0,1.0,99.8,76.0,79.0,1
VEH20725,2021-08-30,119947.0,5.0,5.0,33.8,63.0,106.0,0
VEH33640,2021-08-30,220541.0,12.0,2.0,69.7,41.0,105.0,0
VEH01738,2021-08-30,1187759.0,17.0,8.0,54.2,74.0,100.0,1
VEH53044,2021-08-30,339803.0,12.0,6.0,99.5,76.0,38.0,0
VEH81930,2021-08-30,363356.0,8.0,0.0,43.6,60.0,57.0,0
VEH89785,2021-08-30,257361.0,4.0,,77.8,58.0,80.0,0
VEH80432,2021-08-30,628502.0,12.0,9.0,41.1,63.0,95.0,0
VEH29656,2021-08-31,25697.0,1.0,10.0,85.6,61.0,91.0,0
VEH79366,2021-08-31,154836.0,7.0,10.0,97.5,70.0,101.0,1
VEH18659,2021-08-31,652028.0,14.0,2.0,44.1,61.0,83.0,0
VEH66529,2021-08-31,446803.0,11.0,7.0,72.5,69.0,81.0,0
VEH45318,2021-08-31,275267.0,8.0,5.0,71.8,79.0,62.0,0
VEH10831,2021-09-01,340768.0,7.0,4.0,52.8,94.0,71.0,0
VEH76643,2021-09-01,21451.0,2.0,4.0,91.7,67.0,57.0,0
VEH87569,2021-09-01,456702.0,10.0,1.0,81.7,76.0,68.0,0
VEH86299,2021-09-01,32028.0,2.0,3.0,43.8,38.0,84.0,0
VEH24661,2021-09-01,248500.0,5.0,9.0,34.7,68.0,104.0,0
VEH51169,2021-09-02,381654.0,9.0,7.0,57.5,55.0,91.0,0
VEH51369,2021-09-02,30457.0,0.0,6.0,60.9,75.0,65.0,0
VEH18537,2021-09-02,156533.0,4.0,8.0,98.4,27.0,63.0,0
VEH70857,2021-09-03,1098877.0,17.0,1.0,47.0,60.0,42.0,1
VEH86520,2021-09-03,856269.0,19.0,3.0,99.6,42.0,,1
VEH46281,2021-09-03,37265.0,0.0,6.0,46.5,78.0,101.0,0
VEH61177,2021-09-03,382761.0,11.0,3.0,79.0,92.0,32.0,1
VEH21799,2021-09-03,1191571.0,16.0,10.0,42.5,43.0,72.0,1
VEH72348,2021-09-03,1106014.0,19.0,7.0,86.6,49.0,64.0,1
VEH87178,2021-09-04,779660.0,16.0,3.0,79.7,75.0,55.0,1
VEH78861,2021-09-04,253452.0,11.0,2.0,84.5,69.0,100.0,0
VEH99270,2021-09-04,34441.0,1.0,6.0,42.3,74.0,103.0,0
VEH57717,2021-09-04,175171.0,5.0,5.0,75.0,28.0,85.0,0
VEH99389,2021-09-04,325734.0,10.0,11.0,45.6,81.0,44.0,0
VEH24660,2021-09-05,940400.0,17.0,1.0,61.7,55.0,57.0,0
VEH78329,2021-09-05,835714.0,15.0,4.0,36.7,65.0,97.0,0
VEH99138,2021-09-05,21542.0,0.0,11.0,64.1,42.0,52.0,0
VEH95258,2021-09-05,282111.0,6.0,4.0,34.6,57.0,44.0,0
VEH30230,2021-09-06,901304.0,20.0,8.0,70.5,33.0,34.0,1
VEH99958,2021-09-06,13490.0,1.0,7.0,68.2,75.0,55.0,0
VEH41643,2021-09-06,738185.0,15.0,0.0,78.7,40.0,95.0,0
VEH59866,2021-09-07,1091723.0,19.0,6.0,54.0,40.0,82.0,0
VEH45697,2021-09-07,177614.0,11.0,1.0,46.1,22.0,36.0,0
VEH81662,2021-09-08,147521.0,,6.0,65.3,37.0,88.0,0
VEH98974,2021-09-08,156067.0,3.0,6.0,68.6,89.0,57.0,0
VEH21152,2021-09-08,73202.0,,8.0,81.7,72.0,95.0,0
VEH76394,2021-09-08,90104.0,4.0,6.0,57.3,97.0,31.0,1
VEH68995,2021-09-08,739926.0,15.0,0.0,39.5,41.0,94.0,0
VEH23797,2021-09-08,178287.0,8.0,3.0,89.8,65.0,103.0,0
VEH08635,2021-09-09,450645.0,11.0,4.0,55.0,23.0,43.0,0
VEH19896,2021-09-09,169253.0,5.0,9.0,39.7,37.0,54.0,0
VEH34901,2021-09-10,121466.0,3.0,7.0,41.0,24.0,95.0,0
VEH50765,2021-09-10,422041.0,14.0,2.0,74.3,24.0,53.0,0
VEH14423,2021-09-10,513842.0,13.0,0.0,36.7,86.0,71.0,0
VEH63793,2021-09-10,75318.0,6.0,1.0,79.0,58.0,26.0,1
VEH71313,2021-09-11,21756.0,1.0,2.0,63.5,51.0,61.0,0
VEH73914,2021-09-11,523711.0,10.0,0.0,91.4,24.0,64.0,0
VEH32802,2021-09-11,503043.0,6.0,7.0,68.4,57.0,40.0,0
VEH29895,2021-09-11,521587.0,8.0,1.0,43.8,26.0,63.0,0
VEH55957,2021-09-11,912241.0,17.0,6.0,91.1,87.0,61.0,1
VEH01677,2021-09-11,116538.0,4.0,5.0,37.1,80.0,31.0,0
VEH08907,2021-09-12,469960.0,12.0,8.0,89.1,56.0,79.0,0
VEH08173,2021-09-12,623895.0,12.0,2.0,49.0,71.0,85.0,0
VEH32951,2021-09-12,279741.0,3.0,0.0,68.6,33.0,116.0,0
VEH80238,2021-09-13,253293.0,11.0,8.0,94.5,76.0,76.0,0
VEH41077,2021-09-14,159632.0,7.0,0.0,30.3,69.0,62.0,0
VEH34527,2021-09-14,556973.0,10.0,6.0,82.4,82.0,80.0,0
VEH52989,2021-09-14,30802.0,0.0,5.0,84.5,53.0,36.0,1
VEH95129,2021-09-14,283276.0,9.0,7.0,39.0,33.0,24.0,1
VEH46971,2021-09-14,592975.0,13.0,3.0,58.7,61.0,29.0,1
VEH86515,2021-09-14,1126947.0,16.0,2.0,89.6,69.0,69.0,1
VEH37891,2021-09-14,105890.0,3.0,4.0,71.8,63.0,36.0,0
VEH63072,2021-09-14,338035.0,7.0,11.0,54.2,61.0,75.0,0
VEH90786,2021-09-15,179758.0,6.0,6.0,60.3,48.0,31.0,0
VEH22895,2021-09-15,86432.0,3.0,8.0,72.2,32.0,45.0,0
VEH92580,2021-09-15,246923.0,6.0,9.0,93.4,55.0,59.0,1
VEH01179,2021-09-15,214093.0,4.0,3.0,48.3,26.0,55.0,0
VEH73473,2021-09-16,435382.0,12.0,0.0,39.7,81.0,78.0,0
VEH11386,2021-09-16,313818.0,,2.0,95.6,25.0,88.0,1
VEH99514,2021-09-16,1059683.0,19.0,3.0,66.2,18.0,27.0,1
VEH45216,2021-09-16,35229.0,1.0,6.0,84.7,36.0,31.0,1
VEH31076,2021-09-16,427617.0,9.0,10.0,66.5,68.0,46.0,0
VEH09114,2021-09-16,333812.0,7.0,5.0,47.7,31.0,59.0,0
VEH74704,2021-09-16,26724.0,1.0,7.0,89.2,25.0,97.0,0
VEH84096,2021-09-16,38019.0,1.0,4.0,85.2,54.0,65.0,0
VEH78377,2021-09-17,272993.0,11.0,4.0,80.5,51.0,112.0,0
VEH52424,2021-09-17,684401.0,13.0,3.0,37.3,40.0,29.0,1
VEH02659,2021-09-17,7701.0,1.0,2.0,88.7,21.0,61.0,0
VEH20111,2021-09-17,34203.0,1.0,10.0,52.4,20.0,55.0,0
VEH02926,2021-09-17,378378.0,6.0,,44.5,84.0,28.0,1
VEH52693,2021-09-18,1091801.0,19.0,1.0,91.0,30.0,55.0,1
VEH74108,2021-09-18,158196.0,8.0,8.0,99.2,80.0,90.0,0
VEH98133,2021-09-18,421509.0,9.0,1.0,83.7,26.0,57.0,0
VEH10197,2021-09-18,36208.0,0.0,9.0,75.2,79.0,85.0,0
VEH74561,2021-09-18,225206.0,4.0,5.0,95.5,60.0,24.0,0
VEH64499,2021-09-19,469167.0,11.0,9.0,68.9,66.0,113.0,0
VEH95994,2021-09-19,647114.0,11.0,3.0,45.0,36.0,64.0,0
VEH25584,2021-09-19,329080.0,6.0,8.0,60.7,61.0,41.0,0
VEH19066,2021-09-19,123508.0,3.0,2.0,35.7,75.0,54.0,0
VEH43265,2021-09-19,969338.0,19.0,1.0,40.2,64.0,35.0,1
VEH41642,2021-09-19,1084578.0,20.0,3.0,95.6,23.0,91.0,1
VEH95666,2021-09-20,552468.0,14.0,1.0,80.0,66.0,38.0,0
VEH79417,2021-09-20,707975.0,17.0,9.0,96.8,23.0,46.0,0
VEH72777,2021-09-20,729029.0,15.0,3.0,66.9,79.0,46.0,0
VEH04234,2021-09-20,109698.0,4.0,0.0,80.8,24.0,58.0,0
VEH68135,2021-09-21,572477.0,13.0,8.0,48.7,32.0,,0
VEH75514,2021-09-21,1066073.0,17.0,5.0,32.4,79.0,82.0,0
VEH82686,2021-09-22,619699.0,14.0,10.0,94.9,62.0,43.0,0
VEH68308,2021-09-22,361017.0,13.0,1.0,56.6,74.0,36.0,0
VEH81125,2021-09-22,1110816.0,16.0,8.0,64.4,89.0,85.0,1
VEH24072,2021-09-22,205144.0,5.0,9.0,65.4,29.0,66.0,0
VEH07798,2021-09-23,103147.0,4.0,4.0,64.4,29.0,56.0,0
VEH70954,2021-09-23,812199.0,18.0,0.0,68.1,80.0,102.0,1
VEH98255,2021-09-23,285052.0,6.0,6.0,49.8,22.0,40.0,0
VEH27343,2021-09-24,850958.0,17.0,8.0,70.5,17.0,61.0,1
VEH74099,2021-09-24,140662.0,5.0,7.0,76.7,36.0,91.0,0
VEH92738,2021-09-24,380173.0,12.0,8.0,82.6,65.0,76.0,0
VEH50696,2021-09-25,337406.0,12.0,9.0,52.9,44.0,50.0,0
VEH94733,2021-09-25,158213.0,5.0,0.0,48.9,35.0,46.0,0
VEH04925,2021-09-25,270966.0,6.0,9.0,86.3,79.0,58.0,0
VEH96937,2021-09-25,1053841.0,16.0,6.0,36.9,69.0,70.0,1
VEH18174,2021-09-25,703154.0,16.0,4.0,34.5,51.0,35.0,0
VEH17009,2021-09-26,289166.0,7.0,4.0,49.8,65.0,38.0,1
VEH93410,2021-09-26,981793.0,17.0,1.0,96.3,75.0,59.0,1
VEH33490,2021-09-27,13393.0,1.0,8.0,54.7,30.0,85.0,0
VEH35191,2021-09-27,40722.0,1.0,10.0,43.3,66.0,84.0,0
VEH33683,2021-09-27,443353.0,8.0,,50.0,77.0,89.0,0
VEH96445,2021-09-28,21173.0,1.0,9.0,52.0,34.0,79.0,0
VEH41443,2021-09-28,186299.0,6.0,,79.4,41.0,64.0,0
VEH98765,2021-09-28,1145914.0,20.0,5.0,78.0,60.0,45.0,0
VEH08654,2021-09-28,293216.0,11.0,,96.2,71.0,84.0,0
VEH73728,2021-09-29,980533.0,17.0,4.0,83.0,27.0,66.0,1
VEH53931,2021-09-30,541724.0,13.0,9.0,42.8,69.0,,0
VEH36981,2021-09-30,18377.0,1.0,,93.4,80.0,49.0,0
VEH89330,2021-10-01,399171.0,11.0,3.0,42.4,91.0,103.0,0
VEH95437,2021-10-01,,8.0,2.0,40.1,30.0,46.0,0
VEH21897,2021-10-01,30498.0,0.0,8.0,36.4,29.0,89.0,0
VEH28457,2021-10-02,747189.0,18.0,1.0,75.0,85.0,102.0,0
VEH46648,2021-10-02,365230.0,12.0,10.0,96.0,56.0,80.0,1
VEH90284,2021-10-03,1157607.0,20.0,10.0,72.5,78.0,41.0,0
VEH95825,2021-10-03,303769.0,6.0,7.0,81.5,30.0,52.0,0
VEH19161,2021-10-04,342721.0,8.0,3.0,56.5,33.0,71.0,0
VEH81705,2021-10-04,769693.0,12.0,2.0,47.3,69.0,65.0,0
VEH46608,2021-10-04,270451.0,13.0,5.0,46.1,82.0,92.0,0
VEH95256,2021-10-05,893086.0,15.0,1.0,56.7,31.0,72.0,0
VEH13844,2021-10-05,459059.0,14.0,2.0,83.8,42.0,88.0,0
VEH39997,2021-10-05,245969.0,5.0,3.0,70.3,59.0,31.0,0
VEH03804,2021-10-05,103461.0,5.0,9.0,54.9,65.0,100.0,0
VEH29980,2021-10-05,170802.0,9.0,2.0,79.3,78.0,69.0,0
VEH79753,2021-10-05,334248.0,12.0,10.0,53.9,62.0,105.0,0
VEH46290,2021-10-06,17140.0,2.0,2.0,78.2,93.0,54.0,0
VEH67259,2021-10-06,,7.0,7.0,66.4,23.0,52.0,0
VEH41179,2021-10-06,268597.0,12.0,,39.7,44.0,78.0,0
VEH57739,2021-10-08,224927.0,4.0,0.0,46.9,84.0,93.0,0
VEH72212,2021-10-08,415503.0,12.0,6.0,99.3,72.0,55.0,0
VEH05746,2021-10-08,25796.0,0.0,9.0,76.6,55.0,78.0,0
VEH79204,2021-10-09,228223.0,4.0,3.0,89.8,89.0,77.0,0
VEH98240,2021-10-09,313815.0,8.0,2.0,92.8,21.0,69.0,1
VEH71821,2021-10-09,758709.0,19.0,0.0,98.9,50.0,63.0,1
VEH05335,2021-10-09,27859.0,0.0,1.0,78.7,82.0,68.0,0
VEH65083,2021-10-09,209341.0,10.0,1.0,43.0,20.0,84.0,0
VEH00388,2021-10-10,727224.0,15.0,9.0,64.1,72.0,31.0,0
VEH18264,2021-10-10,221198.0,5.0,4.0,62.5,67.0,70.0,0
VEH57273,2021-10-10,44918.0,4.0,3.0,43.6,74.0,57.0,0
VEH44268,2021-10-10,516917.0,8.0,10.0,44.0,58.0,67.0,0
VEH30308,2021-10-10,21004.0,0.0,0.0,60.8,74.0,57.0,0
VEH86288,2021-10-10,143183.0,9.0,1.0,77.7,70.0,35.0,0
VEH44358,2021-10-10,544006.0,13.0,2.0,61.1,74.0,58.0,0
VEH04338,2021-10-11,186976.0,7.0,0.0,40.1,41.0,42.0,0
VEH85922,2021-10-11,294144.0,12.0,2.0,49.9,29.0,78.0,0
VEH95791,2021-10-11,167064.0,9.0,3.0,77.3,24.0,108.0,0
VEH92774,2021-10-11,622577.0,12.0,9.0,39.8,36.0,55.0,0
VEH10049,2021-10-11,136481.0,3.0,7.0,46.6,46.0,63.0,0
VEH60936,2021-10-11,4718.0,3.0,3.0,31.4,22.0,95.0,0
VEH13097,2021-10-12,423216.0,9.0,5.0,48.6,56.0,85.0,0
VEH14740,2021-10-12,447047.0,10.0,1.0,90.3,24.0,41.0,0
VEH43019,2021-10-12,29281.0,2.0,0.0,71.1,53.0,47.0,0
VEH89084,2021-10-12,137700.0,5.0,6.0,30.4,26.0,82.0,0
VEH52840,2021-10-12,1097405.0,19.0,2.0,49.3,45.0,46.0,0
VEH34422,2021-10-12,202679.0,4.0,9.0,54.8,62.0,69.0,0
VEH99130,2021-10-13,996357.0,19.0,4.0,86.9,72.0,97.0,1
VEH05994,2021-10-13,99503.0,3.0,4.0,89.3,92.0,70.0,0
VEH13691,2021-10-13,408776.0,11.0,4.0,87.2,24.0,,0
VEH27530,2021-10-13,35934.0,2.0,0.0,87.0,83.0,67.0,0
VEH97180,2021-10-13,149985.0,4.0,11.0,46.0,18.0,52.0,0
VEH88481,2021-10-13,229116.0,4.0,6.0,42.8,48.0,69.0,0
VEH90922,2021-10-13,758965.0,15.0,1.0,34.0,19.0,40.0,0
VEH65312,2021-10-13,594780.0,13.0,4.0,33.7,21.0,39.0,0
VEH78820,2021-10-13,629562.0,10.0,2.0,36.8,30.0,39.0,1
VEH71699,2021-10-13,822353.0,12.0,5.0,82.0,37.0,36.0,0
VEH77366,2021-10-14,889761.0,13.0,7.0,49.5,70.0,42.0,0
VEH54564,2021-10-14,735987.0,13.0,9.0,46.1,27.0,70.0,0
VEH65285,2021-10-14,438462.0,10.0,2.0,68.7,72.0,78.0,0
VEH18461,2021-10-15,685252.0,20.0,3.0,36.8,59.0,51.0,0
VEH05615,2021-10-15,785705.0,17.0,7.0,51.6,46.0,68.0,0
VEH68649,2021-10-16,612386.0,15.0,9.0,92.5,43.0,50.0,1
VEH04381,2021-10-16,305537.0,7.0,6.0,53.8,79.0,76.0,0
VEH61936,2021-10-16,659076.0,13.0,7.0,65.6,58.0,46.0,0
VEH60394,2021-10-16,278820.0,7.0,1.0,47.8,66.0,54.0,0
VEH70105,2021-10-17,22960.0,0.0,3.0,96.0,70.0,53.0,0
VEH10241,2021-10-17,34422.0,0.0,5.0,62.7,65.0,93.0,0
VEH67481,2021-10-18,29102.0,4.0,1.0,87.5,38.0,87.0,0
VEH83555,2021-10-20,389989.0,11.0,5.0,59.4,77.0,44.0,0
VEH01578,2021-10-20,117917.0,4.0,4.0,81.3,22.0,33.0,0
VEH07421,2021-10-20,985182.0,17.0,6.0,36.3,57.0,102.0,0
VEH64879,2021-10-21,331708.0,7.0,0.0,55.6,45.0,101.0,0
VEH33715,2021-10-22,,3.0,2.0,78.0,71.0,33.0,0
VEH22029,2021-10-22,22489.0,0.0,6.0,94.6,35.0,86.0,1
VEH18293,2021-10-23,219539.0,3.0,9.0,61.1,92.0,80.0,0
VEH20352,2021-10-23,586804.0,15.0,9.0,82.1,42.0,86.0,0
VEH41275,2021-10-23,16221.0,0.0,2.0,46.6,32.0,36.0,1
VEH83464,2021-10-24,26672.0,2.0,3.0,32.6,32.0,40.0,0
VEH53626,2021-10-25,1151713.0,18.0,6.0,83.8,50.0,56.0,0
VEH76015,2021-10-25,218041.0,5.0,7.0,30.6,43.0,85.0,0
VEH84123,2021-10-25,818813.0,16.0,4.0,45.0,28.0,80.0,0
VEH28457,2021-10-25,383495.0,10.0,7.0,30.1,38.0,31.0,0
VEH95394,2021-10-26,37043.0,0.0,4.0,53.5,41.0,96.0,0
VEH27489,2021-10-26,20745.0,1.0,11.0,91.5,42.0,48.0,0
VEH81494,2021-10-26,213602.0,5.0,8.0,94.3,22.0,60.0,1
VEH40060,2021-10-26,686660.0,12.0,6.0,78.4,32.0,65.0,0
VEH25882,2021-10-27,530065.0,14.0,9.0,80.1,84.0,98.0,0
VEH46598,2021-10-27,164678.0,8.0,10.0,70.2,51.0,85.0,0
VEH52664,2021-10-27,383726.0,7.0,6.0,70.6,85.0,40.0,0
VEH58794,2021-10-27,334564.0,8.0,1.0,35.0,41.0,117.0,0
VEH69962,2021-10-27,198980.0,4.0,3.0,90.6,40.0,85.0,1
VEH28195,2021-10-27,26135.0,1.0,3.0,79.5,42.0,48.0,0
VEH07396,2021-10-27,902873.0,17.0,9.0,46.8,39.0,68.0,1
VEH71473,2021-10-28,737223.0,14.0,8.0,78.7,83.0,73.0,0
VEH56035,2021-10-28,741259.0,20.0,6.0,30.9,48.0,73.0,0
VEH72236,2021-10-28,241168.0,5.0,0.0,94.7,90.0,27.0,1
VEH04132,2021-10-28,1183436.0,20.0,6.0,30.3,67.0,58.0,1
VEH05424,2021-10-28,144639.0,3.0,1.0,43.6,71.0,72.0,0
VEH76440,2021-10-28,762357.0,19.0,5.0,57.4,64.0,76.0,0
VEH36456,2021-10-29,283881.0,9.0,2.0,89.7,58.0,81.0,0
VEH35065,2021-10-29,34414.0,2.0,3.0,96.7,71.0,102.0,0
VEH94110,2021-10-29,511373.0,9.0,3.0,90.5,31.0,59.0,0
VEH44874,2021-10-30,915167.0,20.0,0.0,86.9,29.0,88.0,1
VEH44658,2021-10-30,29766.0,2.0,9.0,75.7,92.0,62.0,0
VEH17695,2021-10-31,868208.0,18.0,7.0,88.5,37.0,49.0,0
VEH85689,2021-10-31,432644.0,10.0,1.0,69.3,19.0,112.0,0
VEH68996,2021-11-01,27324.0,0.0,5.0,32.6,33.0,73.0,0
VEH75727,2021-11-01,291159.0,12.0,9.0,95.9,31.0,82.0,0
VEH68054,2021-11-01,596115.0,12.0,5.0,81.1,45.0,76.0,0
VEH50851,2021-11-01,87242.0,3.0,5.0,47.0,49.0,88.0,0
VEH75710,2021-11-01,747961.0,16.0,1.0,32.3,93.0,78.0,1
VEH43428,2021-11-02,7903.0,4.0,0.0,50.2,73.0,77.0,0
VEH07647,2021-11-02,315948.0,12.0,8.0,32.2,78.0,52.0,0
VEH34148,2021-11-02,14127.0,1.0,4.0,63.5,34.0,78.0,0
VEH66452,2021-11-02,553224.0,14.0,1.0,97.4,29.0,28.0,0
VEH08291,2021-11-02,8520.0,2.0,3.0,48.5,54.0,45.0,0
VEH63231,2021-11-02,1085598.0,20.0,2.0,88.5,36.0,38.0,1
VEH92848,2021-11-03,141996.0,5.0,8.0,88.5,46.0,37.0,0
VEH80828,2021-11-03,859861.0,19.0,11.0,51.1,81.0,80.0,1
VEH30408,2021-11-03,632347.0,10.0,8.0,98.3,94.0,68.0,0
VEH19371,2021-11-03,492920.0,10.0,4.0,95.1,59.0,38.0,0
VEH11198,2021-11-04,429911.0,13.0,0.0,72.2,61.0,67.0,0
VEH03299,2021-11-04,331560.0,12.0,3.0,57.2,65.0,,0
VEH32905,2021-11-04,762447.0,19.0,10.0,71.0,22.0,81.0,0
VEH22634,2021-11-05,106952.0,4.0,9.0,94.2,20.0,66.0,1
VEH32596,2021-11-05,701240.0,15.0,1.0,94.0,54.0,58.0,1
VEH52161,2021-11-06,136094.0,4.0,4.0,31.2,81.0,56.0,0
VEH91769,2021-11-06,30989.0,2.0,8.0,46.8,65.0,39.0,1
VEH92272,2021-11-06,531535.0,10.0,2.0,72.7,47.0,74.0,0
VEH85265,2021-11-06,172397.0,5.0,1.0,37.7,68.0,96.0,0
VEH65251,2021-11-06,631764.0,11.0,5.0,63.5,53.0,115.0,0
VEH06940,2021-11-07,113556.0,5.0,7.0,35.7,63.0,54.0,0
VEH68448,2021-11-07,971096.0,15.0,4.0,34.3,22.0,56.0,1
VEH80903,2021-11-08,606604.0,14.0,9.0,45.7,49.0,86.0,0
VEH63766,2021-11-09,103354.0,3.0,8.0,92.4,99.0,64.0,0
VEH78437,2021-11-09,543728.0,11.0,4.0,73.3,41.0,47.0,0
VEH57614,2021-11-09,764187.0,19.0,9.0,97.5,80.0,60.0,0
VEH88679,2021-11-09,194574.0,11.0,8.0,83.0,47.0,98.0,0
VEH13348,2021-11-09,481169.0,10.0,5.0,37.3,34.0,74.0,0
VEH28052,2021-11-09,807447.0,13.0,8.0,34.5,32.0,58.0,1
VEH97823,2021-11-10,32921.0,1.0,9.0,86.5,74.0,60.0,0
VEH04765,2021-11-11,25835.0,1.0,3.0,97.4,35.0,35.0,1
VEH52044,2021-11-11,272156.0,,0.0,40.3,67.0,34.0,1
VEH54609,2021-11-11,135385.0,3.0,4.0,69.4,55.0,47.0,0
VEH15378,2021-11-11,1149412.0,18.0,6.0,57.6,41.0,75.0,1
VEH83937,2021-11-11,354742.0,7.0,6.0,36.3,89.0,59.0,0
VEH31604,2021-11-11,32147.0,2.0,5.0,97.0,77.0,40.0,1
VEH87825,2021-11-12,747452.0,20.0,8.0,68.9,30.0,,0
VEH77880,2021-11-12,588673.0,14.0,1.0,38.5,46.0,68.0,0
VEH30704,2021-11-13,14876.0,3.0,6.0,73.0,53.0,67.0,0
VEH96009,2021-11-13,,6.0,5.0,78.3,73.0,42.0,0
VEH91924,2021-11-14,537139.0,10.0,5.0,89.1,52.0,82.0,0
VEH63254,2021-11-14,623470.0,15.0,3.0,93.4,38.0,39.0,1
VEH25524,2021-11-15,506820.0,15.0,1.0,70.4,76.0,60.0,0
VEH43562,2021-11-15,33012.0,1.0,8.0,31.5,39.0,40.0,0
VEH88556,2021-11-15,639921.0,15.0,2.0,34.4,39.0,57.0,0
VEH48933,2021-11-16,459945.0,10.0,9.0,71.3,58.0,100.0,0
VEH44980,2021-11-16,860173.0,19.0,6.0,95.5,33.0,,1
VEH32480,2021-11-17,192317.0,11.0,7.0,64.7,28.0,76.0,0
VEH18089,2021-11-17,327395.0,6.0,0.0,48.5,53.0,93.0,0
VEH81606,2021-11-17,25967.0,0.0,10.0,45.9,78.0,36.0,1
VEH74124,2021-11-17,249365.0,8.0,11.0,85.7,25.0,63.0,0
VEH06755,2021-11-17,254651.0,4.0,1.0,70.6,80.0,95.0,0
VEH34068,2021-11-18,29884.0,2.0,4.0,35.0,55.0,99.0,0
VEH14411,2021-11-18,433111.0,14.0,6.0,93.8,78.0,110.0,0
VEH37688,2021-11-18,622168.0,8.0,2.0,82.4,61.0,71.0,0
VEH02530,2021-11-19,12057.0,2.0,6.0,56.6,44.0,37.0,1
VEH95541,2021-11-19,330968.0,9.0,2.0,75.6,22.0,62.0,0
VEH35424,2021-11-19,749918.0,13.0,6.0,88.1,72.0,42.0,0
VEH54696,2021-11-19,144442.0,5.0,6.0,37.4,83.0,88.0,0
VEH75459,2021-11-20,935394.0,18.0,6.0,52.9,48.0,34.0,1
VEH77261,2021-11-20,824282.0,17.0,9.0,89.2,59.0,93.0,1
VEH26668,2021-11-20,1151969.0,18.0,8.0,70.3,67.0,96.0,1
VEH06310,2021-11-20,163408.0,10.0,0.0,70.1,57.0,60.0,0
VEH88290,2021-11-21,585783.0,14.0,2.0,36.9,90.0,77.0,0
VEH21282,2021-11-23,226893.0,10.0,1.0,45.4,73.0,124.0,0
VEH36370,2021-11-23,549510.0,13.0,4.0,64.6,32.0,98.0,0
VEH84850,2021-11-24,36763.0,0.0,8.0,43.6,55.0,38.0,0
VEH96102,2021-11-24,102369.0,4.0,10.0,74.1,73.0,55.0,0
VEH41272,2021-11-24,797895.0,18.0,1.0,77.3,47.0,62.0,1
VEH32819,2021-11-24,304223.0,6.0,6.0,79.3,99.0,83.0,0
VEH61874,2021-11-25,105170.0,5.0,9.0,81.7,67.0,79.0,0
VEH21401,2021-11-26,452653.0,11.0,3.0,41.1,84.0,53.0,0
VEH35581,2021-11-27,745709.0,18.0,0.0,76.6,67.0,41.0,1
VEH18695,2021-11-28,584089.0,11.0,0.0,53.7,29.0,33.0,1
VEH15143,2021-11-28,276879.0,9.0,8.0,44.5,52.0,50.0,0
VEH08506,2021-11-28,15881.0,3.0,7.0,80.7,60.0,32.0,1
VEH15136,2021-11-28,438904.0,14.0,6.0,79.7,40.0,89.0,0
VEH98751,2021-11-28,484411.0,11.0,9.0,76.7,29.0,55.0,0
VEH62818,2021-11-28,323280.0,10.0,1.0,94.7,41.0,41.0,0
VEH98088,2021-11-29,545791.0,14.0,5.0,60.8,60.0,57.0,0
VEH80522,2021-11-29,779296.0,17.0,9.0,48.1,73.0,48.0,0
VEH82816,2021-11-30,713466.0,13.0,6.0,67.7,92.0,56.0,0
VEH93325,2021-11-30,584315.0,13.0,10.0,55.9,54.0,39.0,0
VEH25344,2021-11-30,1150626.0,19.0,1.0,30.6,68.0,83.0,1
VEH44077,2021-11-30,154851.0,3.0,1.0,72.9,67.0,59.0,0
VEH74147,2021-12-01,833455.0,19.0,6.0,73.9,70.0,83.0,1
VEH79232,2021-12-01,814433.0,19.0,8.0,87.3,72.0,,0
VEH56530,2021-12-01,618541.0,14.0,8.0,96.4,26.0,79.0,0
VEH51838,2021-12-01,19011.0,1.0,10.0,79.2,49.0,70.0,0
VEH61709,2021-12-01,601120.0,13.0,3.0,37.7,61.0,36.0,1
VEH51497,2021-12-01,587487.0,14.0,7.0,80.1,38.0,73.0,0
VEH22565,2021-12-02,157125.0,6.0,7.0,50.9,28.0,70.0,0
VEH82260,2021-12-02,517267.0,11.0,7.0,36.1,82.0,44.0,0
VEH00133,2021-12-02,1198724.0,20.0,6.0,35.3,62.0,34.0,0
VEH99841,2021-12-02,250362.0,11.0,3.0,79.2,58.0,53.0,0
VEH10041,2021-12-03,406700.0,8.0,10.0,75.0,92.0,55.0,0
VEH81642,2021-12-03,546541.0,13.0,10.0,32.7,31.0,42.0,0
VEH76993,2021-12-03,404482.0,13.0,0.0,80.9,50.0,104.0,0
VEH01907,2021-12-03,159246.0,4.0,5.0,84.0,80.0,109.0,0
VEH49428,2021-12-03,964026.0,16.0,9.0,58.1,35.0,50.0,0
VEH69409,2021-12-03,38395.0,5.0,8.0,48.9,32.0,68.0,0
VEH21492,2021-12-04,295949.0,7.0,8.0,61.4,93.0,43.0,0
VEH93580,2021-12-05,346632.0,6.0,9.0,47.4,89.0,46.0,0
VEH44786,2021-12-05,20995.0,1.0,8.0,45.3,62.0,92.0,0
