ID заказа,Дата заказа,Тип клиента,Категория груза,Вес груза (кг),Объём груза (м³),Требуемое время доставки (дней),Расстояние до клиента (км),Особые условия,Приоритет доставки
,2022-10-15,Частный,Одежда,,3.38,2.0,265.0,Требуется холод,Высокий
,2022-10-15,Частный,Техника,1414.06,6.32,4.0,352.0,Требуется аккуратность,Средний
OD88731,2022-10-15,Корпоративный,Медикаменты,344.22,1.71,1.0,119.0,Требуется холод,Высокий
OC36105,2022-10-15,Корпоративный,Медикаменты,749.55,3.03,1.0,24.0,Требуется холод,Высокий
OR42493,2022-10-15,Корпоративный,Продукты питания,2697.87,,3.0,,Нет,Низкий
OR26016,2022-10-15,Корпоративный,Одежда,266.03,1.34,1.0,29.0,Требуется холод,Высокий
OC76302,2022-10-15,Частный,Стройматериалы,2324.76,10.06,5.0,608.0,Требуется аккуратность,Низкий
OC49746,2022-10-15,Корпоративный,Техника,231.39,1.21,6.0,311.0,Требуется холод,Высокий
,2022-10-15,Частный,Продукты питания,2791.91,12.61,9.0,700.0,Требуется аккуратность,Низкий
OD33796,2022-10-15,Частный,Одежда,2471.4,13.92,,722.0,Нет,Низкий
OC15900,2022-10-15,Частный,Стройматериалы,,1.25,2.0,97.0,Требуется холод,Высокий
,2022-10-15,Корпоративный,Стройматериалы,976.87,5.24,1.0,91.0,Требуется холод,Высокий
OC76642,2022-10-15,Частный,Медикаменты,787.8,4.04,1.0,114.0,Требуется холод,Высокий
OC68287,2022-10-16,Корпоративный,Медикаменты,,70.25,22.0,1698.0,Требуется холод,
OD80432,2022-10-16,Корпоративный,Техника,610.41,3.22,1.0,61.0,Требуется холод,Высокий
OC85948,2022-10-16,Корпоративный,Продукты питания,310.26,1.86,1.0,45.0,Требуется холод,Высокий
OC99103,2022-10-16,Корпоративный,Техника,463.78,2.23,1.0,10.0,Требуется холод,Высокий
,2022-10-16,Корпоративный,Одежда,2725.04,12.79,7.0,675.0,Требуется аккуратность,Низкий
OC44949,2022-10-16,Частный,Техника,2388.14,12.23,5.0,528.0,Требуется аккуратность,Низкий
,2022-10-16,Частный,Техника,766.8,3.18,0.0,,Нет,Высокий
OD10491,2022-10-16,Корпоративный,Техника,676.87,2.8,1.0,3.0,Требуется холод,Высокий
OD38111,2022-10-16,Корпоративный,Одежда,2648.88,13.83,13.0,685.0,Нет,Низкий
OC51049,2022-10-16,Частный,Одежда,,6.72,5.0,319.0,Требуется аккуратность,Средний
OC87562,2022-10-16,Частный,Продукты питания,385.1,2.1,1.0,41.0,Требуется холод,Высокий
OD56734,2022-10-16,Корпоративный,Техника,1206.69,6.63,3.0,,Нет,Средний
OD70978,2022-10-16,Корпоративный,Продукты питания,518.9,2.78,1.0,76.0,,Высокий
OR80969,2022-10-16,Корпоративный,Продукты питания,,2.57,4.0,247.0,Требуется холод,Высокий
,2022-10-16,Частный,Одежда,2462.16,13.54,6.0,661.0,Требуется аккуратность,Низкий
OC58794,2022-10-16,Частный,Техника,1400.75,6.61,3.0,354.0,Требуется аккуратность,Средний
OR60478,,Частный,Одежда,680.47,3.77,1.0,25.0,Требуется аккуратность,Высокий
OD65485,2022-10-16,Корпоративный,Одежда,893.91,3.97,1.0,14.0,Требуется холод,Высокий
OR12824,2022-10-16,Корпоративный,Стройматериалы,580.56,2.69,2.0,119.0,Нет,Высокий
OC21671,2022-10-17,Частный,Техника,1802.28,7.34,2.0,213.0,Требуется аккуратность,Средний
OD94636,2022-10-17,Частный,Одежда,697.01,4.02,2.0,174.0,Требуется холод,Высокий
OD54593,2022-10-17,Частный,Одежда,2577.31,13.86,11.0,615.0,Требуется аккуратность,Низкий
OD55528,2022-10-17,Частный,Стройматериалы,643.06,3.76,,64.0,Требуется холод,Высокий
OR25239,2022-10-17,Корпоративный,Медикаменты,540.5,2.51,3.0,163.0,,Высокий
OC33270,2022-10-17,Корпоративный,Техника,1644.58,9.47,5.0,340.0,Нет,Средний
OR19465,2022-10-17,Частный,Техника,256.76,1.31,2.0,220.0,Требуется холод,Высокий
OD13118,2022-10-17,Корпоративный,Техника,1416.04,7.93,3.0,226.0,Нет,Средний
OR72300,2022-10-17,Частный,Продукты питания,2555.88,12.89,7.0,651.0,Нет,Низкий
OC79934,2022-10-17,Корпоративный,Медикаменты,554.58,2.24,1.0,144.0,Требуется холод,Высокий
OC73838,2022-10-17,Корпоративный,Продукты питания,1752.19,,3.0,294.0,Нет,Средний
OC98533,2022-10-17,Частный,Техника,618.93,3.09,,148.0,Требуется аккуратность,Высокий
OD33131,2022-10-18,Частный,Стройматериалы,707.76,3.91,1.0,3.0,Требуется холод,Высокий
OC95170,2022-10-18,Корпоративный,Продукты питания,5534.52,32.87,30.0,1610.0,Требуется аккуратность,
OC69684,2022-10-18,Корпоративный,Стройматериалы,1503.05,7.86,8.0,439.0,Нет,Средний
OC92183,2022-10-18,Частный,Медикаменты,499.08,2.7,2.0,260.0,Требуется холод,Высокий
OR23083,2022-10-18,Корпоративный,Стройматериалы,2616.22,15.21,5.0,486.0,Требуется аккуратность,Низкий
OC39031,2022-10-18,Частный,Продукты питания,,7.09,2.0,132.0,Требуется аккуратность,Средний
OR39876,2022-10-18,Частный,Продукты питания,836.81,4.64,2.0,178.0,Требуется холод,Высокий
OR93663,2022-10-18,Корпоративный,Одежда,573.26,3.25,1.0,16.0,Требуется холод,Высокий
OD59568,2022-10-18,Частный,Техника,1683.08,9.16,3.0,282.0,Требуется аккуратность,Средний
OC24892,2022-10-18,Частный,Продукты питания,344.94,,2.0,131.0,Требуется холод,Высокий
OR57712,2022-10-18,Корпоративный,Медикаменты,539.16,2.74,1.0,53.0,Требуется холод,Высокий
OD87602,2022-10-18,Корпоративный,Техника,610.53,3.31,2.0,127.0,Требуется холод,Высокий
OD87411,,Частный,Стройматериалы,2750.72,11.77,8.0,646.0,Требуется аккуратность,Низкий
OC71352,2022-10-19,Частный,Стройматериалы,710.84,,1.0,98.0,Требуется холод,Высокий
OR42902,2022-10-19,Частный,Техника,1746.98,7.38,3.0,283.0,Требуется аккуратность,Средний
OC74665,2022-10-19,Корпоративный,Техника,380.1,1.82,1.0,112.0,Требуется аккуратность,Высокий
OR30388,2022-10-19,Частный,Медикаменты,596.37,,2.0,124.0,Требуется холод,Высокий
OR73234,2022-10-19,Корпоративный,Техника,297.97,1.27,2.0,139.0,Требуется холод,Высокий
OD18403,2022-10-19,Частный,Стройматериалы,341.43,1.65,2.0,211.0,Требуется холод,Высокий
OC63330,2022-10-19,Корпоративный,Продукты питания,587.52,3.41,2.0,215.0,,Высокий
OD12726,2022-10-19,Корпоративный,Техника,328.53,1.83,1.0,114.0,Нет,Высокий
OC10943,2022-10-19,Корпоративный,Медикаменты,350.03,1.59,,11.0,Требуется холод,Высокий
OD98659,2022-10-19,Корпоративный,Продукты питания,2502.92,14.66,10.0,838.0,Нет,Низкий
OC10269,2022-10-19,Корпоративный,Одежда,2249.22,9.31,7.0,735.0,Требуется аккуратность,Низкий
OD94954,2022-10-19,Корпоративный,Техника,265.32,1.33,2.0,272.0,Требуется холод,Высокий
OD50712,2022-10-19,Корпоративный,Одежда,1358.41,5.87,3.0,190.0,Нет,Средний
OD90568,2022-10-19,Частный,Техника,629.88,2.94,1.0,35.0,Нет,Высокий
OR74156,2022-10-19,Корпоративный,Стройматериалы,,6.86,4.0,208.0,Требуется аккуратность,Средний
OC79398,2022-10-19,Корпоративный,Техника,1703.65,8.11,2.0,194.0,Нет,Средний
OC53034,2022-10-19,Частный,Техника,1590.82,7.72,3.0,302.0,Требуется аккуратность,Средний
OR19824,2022-10-20,Корпоративный,Продукты питания,2460.13,13.22,4.0,,Нет,Низкий
OC69628,2022-10-20,Частный,Техника,443.34,2.36,2.0,136.0,Требуется холод,Высокий
OR57875,2022-10-20,Частный,Медикаменты,2500.88,,8.0,667.0,Требуется аккуратность,Низкий
OC46787,2022-10-20,Корпоративный,Техника,372.27,1.89,2.0,187.0,Требуется холод,Высокий
,2022-10-20,Частный,Медикаменты,667.11,3.03,1.0,24.0,Требуется холод,Высокий
OD93126,2022-10-20,Корпоративный,Одежда,94.95,0.45,21.0,2449.0,Требуется холод,
OR27482,2022-10-20,Корпоративный,Одежда,2384.91,10.45,13.0,775.0,Нет,Низкий
OD28012,2022-10-20,Частный,Одежда,1664.65,6.87,4.0,317.0,Требуется аккуратность,Средний
OD59137,2022-10-20,Частный,Медикаменты,240.25,1.13,2.0,134.0,Требуется холод,Высокий
OD45918,2022-10-20,Частный,Техника,542.51,2.79,1.0,58.0,Требуется аккуратность,Высокий
OD93992,2022-10-20,Корпоративный,Техника,2172.02,10.97,8.0,730.0,Требуется аккуратность,Низкий
OR34661,2022-10-20,Корпоративный,Стройматериалы,264.33,1.4,2.0,146.0,Требуется аккуратность,Высокий
OR63822,2022-10-20,Частный,Стройматериалы,1341.41,6.1,3.0,,Требуется аккуратность,Средний
OR22309,2022-10-20,Частный,Продукты питания,335.9,1.66,1.0,40.0,Требуется холод,Высокий
OD10437,2022-10-21,Корпоративный,Продукты питания,566.03,3.36,1.0,12.0,Требуется аккуратность,Высокий
OD49330,2022-10-21,Корпоративный,Медикаменты,433.6,2.04,1.0,36.0,Требуется холод,Высокий
OR79744,2022-10-21,Частный,Продукты питания,1707.71,8.33,4.0,301.0,Требуется аккуратность,Средний
OC50086,2022-10-21,Частный,Техника,466.92,1.95,3.0,210.0,Требуется холод,Высокий
OR66616,2022-10-21,Частный,Техника,273.75,1.17,2.0,110.0,Требуется холод,Высокий
OC76168,2022-10-21,Частный,Техника,440.83,2.33,1.0,64.0,Нет,Высокий
OR10398,2022-10-21,Частный,Одежда,,9.54,4.0,242.0,Требуется аккуратность,Средний
OC17871,2022-10-21,Частный,Стройматериалы,2476.05,14.62,8.0,649.0,Нет,Низкий
OD36844,2022-10-21,Частный,Продукты питания,590.28,3.46,1.0,83.0,Требуется холод,Высокий
OR35122,2022-10-21,Корпоративный,Медикаменты,466.37,2.39,1.0,118.0,Требуется холод,Высокий
OD37523,2022-10-21,Частный,Продукты питания,197.39,0.98,2.0,229.0,Требуется аккуратность,Высокий
OC50074,2022-10-21,Корпоративный,Одежда,526.78,3.13,1.0,7.0,Нет,Высокий
OC25088,2022-10-21,Частный,Продукты питания,2670.33,13.65,6.0,585.0,Нет,Низкий
OR80907,2022-10-21,Частный,Медикаменты,869.6,5.1,2.0,109.0,Требуется холод,Высокий
OD77617,2022-10-22,Частный,Медикаменты,466.39,2.63,1.0,84.0,Требуется холод,Высокий
OR60820,2022-10-22,Корпоративный,Одежда,646.06,3.25,1.0,,Требуется холод,Высокий
OD62014,,Частный,Медикаменты,847.8,3.78,8.0,,Требуется холод,
OC95146,2022-10-22,Корпоративный,Техника,403.95,2.03,1.0,57.0,Требуется аккуратность,Высокий
OR87472,2022-10-22,Частный,Техника,903.92,4.94,3.0,211.0,Нет,Высокий
OC53828,2022-10-22,Корпоративный,Техника,1790.06,9.8,3.0,,Требуется аккуратность,Средний
,2022-10-22,Частный,Техника,1513.8,8.62,7.0,387.0,Нет,Средний
OD94704,2022-10-22,Корпоративный,Продукты питания,826.89,4.08,,67.0,Требуется аккуратность,Высокий
OD12680,2022-10-22,Корпоративный,Продукты питания,570.26,2.85,1.0,68.0,Требуется холод,Высокий
OD72371,2022-10-22,Частный,Техника,609.54,2.48,1.0,125.0,Требуется холод,Высокий
OR78999,2022-10-22,Частный,Одежда,824.65,4.0,1.0,30.0,Требуется холод,Высокий
OR82640,2022-10-22,Частный,Одежда,572.26,3.22,1.0,82.0,Требуется холод,Высокий
OD35330,2022-10-22,Корпоративный,Стройматериалы,151.04,0.79,1.0,146.0,Требуется холод,Высокий
OD66288,2022-10-22,Корпоративный,Стройматериалы,1522.6,6.2,4.0,422.0,Требуется аккуратность,Средний
OC51573,2022-10-22,Корпоративный,Одежда,441.8,2.0,1.0,109.0,Требуется холод,Высокий
OD76104,2022-10-22,Частный,Медикаменты,1462.71,7.81,3.0,203.0,Требуется аккуратность,Средний
OD13095,2022-10-23,Корпоративный,Медикаменты,81.0,0.44,1.0,88.0,Требуется холод,Высокий
OR24672,2022-10-23,Корпоративный,Техника,581.57,3.14,1.0,82.0,Требуется холод,Высокий
OD64248,2022-10-23,Корпоративный,Техника,646.15,,3.0,162.0,Требуется холод,Высокий
OD88643,2022-10-23,Корпоративный,Одежда,2335.47,11.12,6.0,616.0,Требуется аккуратность,Низкий
OD23352,2022-10-23,Частный,Стройматериалы,382.3,1.98,3.0,189.0,Требуется холод,Высокий
OR82293,2022-10-23,Корпоративный,Продукты питания,899.78,4.57,1.0,99.0,Требуется холод,Высокий
OR67909,2022-10-23,Частный,Техника,1485.75,8.48,4.0,,Требуется аккуратность,Средний
OC95692,2022-10-23,Корпоративный,Одежда,1389.71,5.93,2.0,207.0,Требуется аккуратность,Средний
,2022-10-23,Корпоративный,Медикаменты,2480.56,10.88,10.0,760.0,Требуется аккуратность,Низкий
OC39253,2022-10-23,Частный,Медикаменты,436.75,2.54,1.0,102.0,Требуется холод,Высокий
OD28730,2022-10-23,Корпоративный,Стройматериалы,1273.27,5.86,2.0,170.0,Требуется аккуратность,Средний
OD27197,2022-10-23,Частный,Продукты питания,2394.04,,,636.0,Требуется аккуратность,Низкий
OC55465,2022-10-23,Корпоративный,Медикаменты,362.69,2.02,1.0,7.0,Требуется холод,Высокий
OC68335,2022-10-23,Частный,Продукты питания,267.48,1.56,14.0,1619.0,Требуется холод,
OD35244,2022-10-23,Частный,Техника,2878.31,14.23,,701.0,Нет,Низкий
OC99252,,Корпоративный,Продукты питания,2341.61,11.19,8.0,614.0,Нет,Низкий
OD77820,2022-10-23,Корпоративный,Техника,553.46,2.63,1.0,23.0,Требуется холод,Высокий
OR82442,2022-10-23,Корпоративный,Одежда,622.14,3.12,2.0,166.0,Нет,Высокий
OC84520,2022-10-23,Частный,Техника,2640.23,12.29,5.0,605.0,Нет,Низкий
OR80451,,Корпоративный,Техника,,13.68,13.0,751.0,,Низкий
OR61307,2022-10-24,Корпоративный,Медикаменты,415.18,2.39,2.0,131.0,Требуется холод,Высокий
OR18306,2022-10-24,Частный,Техника,2249.33,11.16,6.0,,Требуется аккуратность,Низкий
OR75338,2022-10-24,Корпоративный,Продукты питания,1373.81,5.56,3.0,185.0,Требуется аккуратность,Средний
OD68633,2022-10-24,Корпоративный,Продукты питания,539.69,2.51,3.0,236.0,Требуется холод,Высокий
OR96810,2022-10-24,Корпоративный,Медикаменты,403.82,1.88,1.0,3.0,Требуется холод,Высокий
OC12245,2022-10-24,Корпоративный,Одежда,391.72,2.16,12.0,1400.0,Требуется холод,
OR46623,2022-10-24,Частный,Продукты питания,667.19,3.73,1.0,61.0,Требуется холод,Высокий
OC73778,2022-10-24,Частный,Стройматериалы,512.44,2.93,1.0,83.0,Требуется холод,Высокий
OR45849,2022-10-24,Частный,Медикаменты,221.44,1.29,0.0,,Требуется холод,Высокий
,2022-10-24,Корпоративный,Одежда,484.14,2.74,1.0,131.0,Требуется холод,Высокий
OC16259,2022-10-24,Корпоративный,Техника,174.74,0.8,2.0,120.0,Требуется холод,Высокий
OR65522,2022-10-24,Частный,Одежда,1185.79,5.62,5.0,330.0,Требуется аккуратность,Средний
OC74034,2022-10-25,Корпоративный,Медикаменты,2615.24,13.41,6.0,598.0,Нет,Низкий
OC31177,2022-10-25,Корпоративный,Одежда,1689.92,6.99,4.0,375.0,,Средний
OC82424,2022-10-25,Частный,Продукты питания,1340.2,7.4,4.0,331.0,Нет,Средний
OD30459,2022-10-25,Частный,Медикаменты,515.52,2.56,2.0,204.0,Требуется холод,Высокий
OC73902,2022-10-25,Частный,Медикаменты,554.17,3.24,2.0,188.0,Требуется аккуратность,Высокий
,2022-10-25,Корпоративный,Техника,1778.69,9.63,4.0,277.0,Требуется аккуратность,Средний
OC74346,2022-10-25,Корпоративный,Медикаменты,210.03,,2.0,136.0,,Высокий
OR48548,2022-10-25,Корпоративный,Одежда,397.51,2.16,2.0,163.0,Требуется холод,Высокий
OR29501,2022-10-25,Частный,Стройматериалы,899.94,3.93,2.0,,Требуется холод,Высокий
OD16516,2022-10-25,Корпоративный,Медикаменты,19300.24,114.19,23.0,1184.0,Требуется холод,
OD84702,2022-10-25,Частный,Продукты питания,208.18,1.24,1.0,70.0,Требуется аккуратность,Высокий
OD31150,2022-10-25,Корпоративный,Продукты питания,2268.85,11.75,14.0,717.0,Требуется аккуратность,Низкий
OR11435,2022-10-25,Корпоративный,Медикаменты,496.59,2.19,1.0,36.0,Требуется холод,Высокий
OC41872,2022-10-25,Корпоративный,Техника,1614.66,,3.0,299.0,Требуется аккуратность,Средний
OD33911,2022-10-26,Частный,Техника,,3.63,1.0,38.0,Нет,Высокий
OC93602,2022-10-26,Частный,Продукты питания,442.09,,1.0,81.0,Требуется холод,Высокий
OD62615,2022-10-26,Частный,Продукты питания,2644.01,11.01,12.0,718.0,,Низкий
OC42265,2022-10-26,Частный,Одежда,2433.96,13.52,5.0,,Требуется аккуратность,Низкий
OD38732,,Корпоративный,Одежда,1501.11,7.9,4.0,353.0,Требуется аккуратность,Средний
OC92906,2022-10-26,Корпоративный,Одежда,613.42,2.65,2.0,96.0,Требуется холод,Высокий
OC37481,2022-10-26,Частный,Продукты питания,397.87,2.23,2.0,177.0,Требуется холод,Высокий
OR89373,2022-10-26,Частный,Медикаменты,695.59,3.03,1.0,76.0,Требуется холод,Высокий
OR99020,2022-10-26,Корпоративный,Стройматериалы,382.33,1.67,1.0,1.0,Требуется холод,Высокий
OD75957,2022-10-26,Частный,Продукты питания,2543.47,13.06,6.0,,Требуется аккуратность,Низкий
OR45228,2022-10-26,Корпоративный,Продукты питания,278.08,1.39,1.0,,Требуется холод,Высокий
OC30528,,Частный,Одежда,4934.79,25.91,24.0,2191.0,Требуется холод,
OC26480,2022-10-26,Частный,Медикаменты,385.91,1.95,1.0,94.0,Требуется холод,Высокий
OR63239,2022-10-26,Частный,Одежда,1313.98,7.44,5.0,278.0,Нет,Средний
OD21319,2022-10-26,Частный,Продукты питания,1259.66,5.05,4.0,302.0,Нет,Средний
OR83750,2022-10-26,Частный,Стройматериалы,2135.02,10.21,8.0,591.0,Требуется аккуратность,Низкий
OR35097,2022-10-26,Корпоративный,Стройматериалы,1746.27,9.85,4.0,282.0,Требуется аккуратность,Средний
OR59186,,Частный,Медикаменты,383.83,1.96,1.0,28.0,Требуется холод,Высокий
,2022-10-26,Частный,Техника,1301.04,7.78,5.0,383.0,Нет,Средний
OR87967,,Частный,Медикаменты,514.42,3.07,1.0,18.0,Требуется холод,Высокий
OD88267,2022-10-26,Частный,Техника,255.59,,2.0,137.0,Требуется холод,Высокий
OC57044,2022-10-26,Частный,Стройматериалы,,7.1,5.0,261.0,Требуется аккуратность,Средний
OD44666,2022-10-26,Частный,Продукты питания,2989.03,,6.0,613.0,Нет,Низкий
OR77400,2022-10-27,Частный,Стройматериалы,359.29,2.13,1.0,94.0,Требуется холод,Высокий
OC65074,2022-10-27,Частный,Медикаменты,893.95,5.33,3.0,259.0,Требуется холод,Высокий
OC13064,2022-10-27,Частный,Стройматериалы,2348.22,11.91,6.0,650.0,Нет,Низкий
OD51802,2022-10-27,Корпоративный,Стройматериалы,,14.74,10.0,647.0,Требуется аккуратность,Низкий
OC94143,2022-10-27,Частный,Медикаменты,440.91,2.21,1.0,24.0,Требуется холод,Высокий
OR41841,2022-10-27,Корпоративный,Стройматериалы,2703.38,13.6,13.0,663.0,Требуется аккуратность,Низкий
OD48849,2022-10-27,Корпоративный,Техника,1508.81,6.06,2.0,193.0,Нет,Средний
OD40260,2022-10-27,Корпоративный,Стройматериалы,,3.1,2.0,216.0,,Высокий
OD74323,2022-10-27,Частный,Стройматериалы,298.63,1.32,1.0,21.0,Требуется аккуратность,Высокий
OC20076,2022-10-27,Корпоративный,Медикаменты,791.11,3.46,1.0,21.0,Требуется холод,Высокий
OD47897,2022-10-27,Корпоративный,Стройматериалы,468.11,2.0,2.0,144.0,Требуется холод,Высокий
OR48652,2022-10-27,Частный,Продукты питания,350.13,1.57,2.0,141.0,Требуется холод,Высокий
OC27108,2022-10-27,Частный,Медикаменты,455.31,,1.0,71.0,Требуется холод,Высокий
OD70785,2022-10-27,Частный,Медикаменты,579.52,,2.0,162.0,Требуется холод,Высокий
OC85353,2022-10-28,Частный,Продукты питания,2632.82,15.74,7.0,684.0,Нет,Низкий
OD53361,2022-10-28,Частный,Стройматериалы,697.04,2.79,2.0,208.0,Требуется холод,Высокий
OR68579,2022-10-28,Корпоративный,Продукты питания,9529.0,47.22,8.0,702.0,Требуется аккуратность,
OC83617,2022-10-28,Корпоративный,Продукты питания,362.47,2.06,1.0,26.0,Требуется холод,Высокий
OR23000,2022-10-28,Частный,Одежда,411.96,1.95,2.0,170.0,Требуется холод,Высокий
OR49359,2022-10-28,Частный,Медикаменты,234.15,1.08,1.0,6.0,Требуется холод,Высокий
OD29778,2022-10-28,Корпоративный,Стройматериалы,7060.23,34.68,1.0,,Нет,
OR23520,2022-10-28,Корпоративный,Одежда,564.85,3.17,1.0,146.0,Нет,Высокий
,2022-10-28,Частный,Стройматериалы,,14.52,9.0,627.0,Нет,Низкий
OD29316,2022-10-28,Корпоративный,Одежда,288.88,1.31,1.0,35.0,Требуется холод,Высокий
,2022-10-28,Частный,Одежда,1333.45,7.69,3.0,217.0,Нет,Средний
OR94571,2022-10-28,Частный,Техника,2371.4,10.74,7.0,809.0,,Низкий
OC24048,2022-10-28,Корпоративный,Медикаменты,547.69,2.61,1.0,22.0,,Высокий
OR57378,,Частный,Продукты питания,2325.1,11.13,5.0,576.0,Нет,Низкий
OR48924,2022-10-29,Корпоративный,Одежда,422.66,2.25,2.0,143.0,,Высокий
OC18741,2022-10-29,Частный,Продукты питания,423.5,1.8,0.0,,Требуется холод,Высокий
OD25243,2022-10-29,Корпоративный,Стройматериалы,247.43,1.12,1.0,,Требуется аккуратность,Высокий
OC25834,2022-10-29,Частный,Одежда,471.97,2.0,3.0,183.0,Требуется аккуратность,Высокий
OD25349,2022-10-29,Частный,Стройматериалы,389.35,1.67,1.0,41.0,Нет,Высокий
OR92607,2022-10-29,Корпоративный,Одежда,2566.22,12.53,,637.0,Нет,Низкий
OD18059,,Корпоративный,Стройматериалы,586.13,3.07,1.0,83.0,Требуется холод,Высокий
OC65210,2022-10-29,Частный,Медикаменты,465.44,2.42,2.0,122.0,Требуется холод,Высокий
OC12911,2022-10-29,Корпоративный,Продукты питания,,7.08,2.0,187.0,Требуется аккуратность,Средний
OD62406,2022-10-29,Корпоративный,Стройматериалы,408.93,2.24,1.0,53.0,Требуется холод,Высокий
OD95243,2022-10-29,Частный,Медикаменты,369.18,1.96,1.0,120.0,Требуется холод,Высокий
OC59634,2022-10-29,Частный,Одежда,502.2,2.81,1.0,55.0,Требуется холод,
OD11758,2022-10-29,Корпоративный,Одежда,1448.86,8.38,4.0,296.0,Нет,Средний
OD87766,2022-10-30,Корпоративный,Стройматериалы,1182.21,6.13,5.0,345.0,Нет,Средний
OC52296,2022-10-30,Частный,Техника,418.62,2.48,1.0,11.0,Нет,Высокий
OC21426,2022-10-30,Корпоративный,Стройматериалы,1480.21,6.67,4.0,296.0,Требуется аккуратность,Средний
OD92317,2022-10-30,Корпоративный,Продукты питания,2336.53,12.88,10.0,717.0,Требуется аккуратность,Низкий
OC22886,2022-10-30,Корпоративный,Продукты питания,461.81,,1.0,73.0,Требуется холод,Высокий
OD53079,2022-10-30,Частный,Одежда,1246.59,6.68,2.0,232.0,Нет,Средний
OR21511,2022-10-30,Частный,Продукты питания,397.93,2.07,1.0,,Требуется холод,Высокий
OC87012,2022-10-30,Частный,Медикаменты,256.27,1.09,1.0,37.0,Требуется холод,
OC11402,2022-10-30,Корпоративный,Продукты питания,414.8,1.98,1.0,135.0,Требуется холод,Высокий
OC62633,2022-10-30,Частный,Техника,331.65,1.74,1.0,67.0,Требуется холод,Высокий
OR89964,2022-10-30,Корпоративный,Техника,2694.21,15.06,6.0,697.0,Требуется аккуратность,Низкий
OR38836,,Корпоративный,Медикаменты,258.01,1.04,1.0,16.0,Требуется холод,Высокий
OC44395,2022-10-30,Частный,Медикаменты,979.85,4.35,1.0,3.0,Требуется холод,Высокий
OC40161,2022-10-31,Частный,Медикаменты,,4.75,3.0,232.0,,Высокий
OR11167,2022-10-31,Частный,Стройматериалы,1587.73,9.23,6.0,429.0,Нет,Средний
OD69938,2022-10-31,Корпоративный,Медикаменты,14097.86,57.32,14.0,1340.0,Нет,
OD36772,2022-10-31,Корпоративный,Одежда,1287.84,5.48,5.0,268.0,Нет,Средний
OD84060,2022-10-31,Частный,Техника,422.41,2.34,1.0,7.0,Требуется холод,Высокий
OD29237,2022-10-31,Частный,Стройматериалы,455.23,2.35,1.0,29.0,Требуется холод,Высокий
OD89087,2022-10-31,Корпоративный,Стройматериалы,723.04,4.29,2.0,169.0,Нет,Высокий
OC49689,2022-10-31,Корпоративный,Стройматериалы,811.35,4.74,1.0,66.0,Требуется холод,Высокий
OC27041,2022-10-31,Корпоративный,Медикаменты,229.35,1.24,1.0,26.0,Требуется холод,Высокий
OD56306,2022-10-31,Частный,Стройматериалы,1432.14,6.11,3.0,383.0,Требуется аккуратность,Средний
,2022-10-31,Частный,Медикаменты,708.14,3.24,3.0,207.0,Требуется аккуратность,Высокий
OD19457,2022-10-31,Корпоративный,Техника,2480.06,11.81,8.0,554.0,Нет,Низкий
OD85640,2022-11-01,Частный,Стройматериалы,1406.06,6.16,3.0,330.0,Нет,Средний
OR16082,2022-11-01,Корпоративный,Продукты питания,1715.51,9.97,2.0,277.0,Требуется аккуратность,Средний
OR87661,2022-11-01,Частный,Продукты питания,364.06,1.71,1.0,69.0,Требуется холод,Высокий
OR20805,2022-11-01,Частный,Техника,2558.3,12.48,,666.0,Нет,Низкий
OD87821,2022-11-01,Корпоративный,Медикаменты,698.27,3.52,3.0,231.0,Требуется холод,Высокий
OR46309,2022-11-01,Частный,Медикаменты,606.13,3.61,1.0,102.0,Требуется холод,Высокий
OD44060,2022-11-01,Частный,Медикаменты,189.67,0.95,1.0,155.0,Требуется холод,Высокий
OD99100,2022-11-01,Корпоративный,Техника,536.95,2.63,2.0,193.0,Требуется холод,Высокий
OR88182,2022-11-01,Корпоративный,Продукты питания,6404.48,25.73,2.0,190.0,Требуется холод,
OD33267,2022-11-01,Корпоративный,Стройматериалы,649.75,2.71,2.0,124.0,Требуется аккуратность,Высокий
OR86584,2022-11-01,Корпоративный,Одежда,1602.01,8.85,4.0,298.0,Нет,Средний
OC94169,2022-11-01,Частный,Продукты питания,522.77,2.32,1.0,50.0,Требуется холод,Высокий
OR62524,2022-11-01,Частный,Техника,1708.33,8.69,4.0,325.0,Требуется аккуратность,Средний
OD74767,,Частный,Продукты питания,626.23,2.64,2.0,89.0,Требуется холод,Высокий
,2022-11-01,Корпоративный,Одежда,2718.91,15.68,7.0,654.0,Требуется аккуратность,Низкий
OC82572,2022-11-01,Частный,Медикаменты,443.27,2.1,1.0,55.0,Требуется холод,Высокий
OR11255,2022-11-01,Корпоративный,Стройматериалы,2673.16,11.18,6.0,729.0,Нет,Низкий
OR46849,2022-11-01,Корпоративный,Техника,,6.8,2.0,,Нет,Средний
OR19569,2022-11-02,Корпоративный,Продукты питания,585.6,2.54,1.0,47.0,Требуется холод,Высокий
OC61186,2022-11-02,Корпоративный,Медикаменты,409.33,1.87,2.0,97.0,Требуется холод,Высокий
OD84780,2022-11-02,Корпоративный,Продукты питания,1595.71,7.0,,253.0,Требуется аккуратность,Средний
OC54164,2022-11-02,Частный,Стройматериалы,573.06,3.14,2.0,227.0,Требуется холод,Высокий
OR43748,2022-11-02,Частный,Стройматериалы,2627.88,12.71,7.0,636.0,Требуется аккуратность,Низкий
