Расстояние (км),Вес груза (кг),Объём груза (м³),Плотность (кг/м³),Стоимость топлива (тенге/л),Тип груза,Тип транспорта,Зарплата водителя (тенге),Налоги и сборы (тенге),Стоимость доставки (тенге)
1736.0,11562.0,34.67888606965534,333.0,215.0,Одежда,Тент,132474.0,28147.0,198345.0
2404.0,5971.0,35.271443555385865,169.0,231.0,Мебель,Грузовик,199328.0,30671.0,373342.0
518.0,17927.0,44.7,401.0,218.0,Одежда,Грузовик,188177.0,37348.0,209025.0
1683.0,18090.0,28.0,646.0,243.0,Одежда,Тент,162706.0,39658.0,230821.0
2184.0,10457.0,36.2,289.0,216.0,Техника,Грузовик,158871.0,27302.0,265626.0
2825.0,29424.0,11.9,2473.0,209.0,Стройматериалы,Грузовик,119487.0,27456.0,297789.0
2747.0,6303.0,32.4,195.0,182.0,Мебель,Тент,130192.0,22787.0,317113.0
2461.0,6787.0,20.8,326.0,185.0,Одежда,Грузовик,,,240695.0
780.0,8625.0,34.1,253.0,193.0,Техника,Тент,179756.0,42455.0,237165.0
2368.0,9885.0,44.2,224.0,240.0,Техника,Грузовик,186397.0,33984.0,304988.0
579.0,17812.0,45.5,391.0,254.0,Стройматериалы,Грузовик,107264.0,19493.0,163436.0
636.0,25031.0,21.9,1143.0,250.0,Стройматериалы,Грузовик,130562.0,24119.0,173786.0
398.0,15768.0,8.0,1971.0,255.0,Стройматериалы,Тент,137366.0,28875.0,171293.0
2601.0,898.0,1.8093179855950667,496.0,251.0,Продукты,Тент,158716.0,30734.0,400055.0
412.0,2219.0,7.4,300.0,182.0,Техника,Тент,188788.0,45406.0,237128.0
506.0,28929.0,59.1,489.0,238.0,Стройматериалы,Грузовик,185715.0,30418.0,206268.0
839.0,10781.0,41.1,262.0,205.0,Техника,Тент,103442.0,21796.0,163635.0
1706.0,16810.0,33.0,509.0,198.0,Одежда,Грузовик,172124.0,26294.0,231294.0
2677.0,26088.0,35.54233748435848,734.0,255.0,Стройматериалы,Грузовик,138945.0,24923.0,329520.0
1362.0,14152.0,37.3,379.0,226.0,Техника,Тент,119522.0,22978.0,199215.0
1738.0,11474.0,61.0,188.0,195.0,Мебель,Грузовик,171366.0,38166.0,275078.0
551.0,1403.0,2.722450124426344,515.0,204.0,Продукты,Рефрижератор,145059.0,35663.0,268946.0
822.0,13072.0,55.3,236.0,237.0,Техника,Тент,104255.0,17193.0,166380.0
485.0,3887.0,6.2655973938046605,620.0,205.0,Мебель,Тент,192866.0,40224.0,273464.0
1214.0,12957.0,22.9408780593172,565.0,243.0,Техника,Тент,131023.0,29610.0,229402.0
1787.0,25251.0,55.5,455.0,226.0,Стройматериалы,Тент,119557.0,18606.0,234387.0
855.0,7111.0,46.5,153.0,188.0,Мебель,Грузовик,165438.0,31555.0,245875.0
2382.0,1088.0,2.1656761141416783,502.0,233.0,Продукты,Тент,195269.0,45730.0,471769.0
2981.0,34563.0,15.5,2230.0,212.0,Стройматериалы,Тент,159994.0,28381.0,354159.0
411.0,7872.0,32.1,245.0,195.0,Техника,Тент,158670.0,,181992.0
138.0,5187.0,52.9,98.0,230.0,Мебель,Тент,168319.0,41694.0,223979.0
2336.0,13740.0,53.7,256.0,186.0,Техника,Грузовик,151513.0,23463.0,265880.0
649.0,1292.0,4.5,287.0,230.0,Техника,Грузовик,117893.0,19848.0,138387.0
1077.0,505.0,1.047842836810975,482.0,243.0,Продукты,Рефрижератор,125889.0,29123.0,292712.0
1193.0,6904.0,24.0,288.0,250.0,Техника,Тент,,,208695.0
2616.0,3009.0,33.4,90.0,181.0,Мебель,Грузовик,135580.0,32795.0,276491.0
1967.0,32662.0,21.9,1491.0,224.0,Стройматериалы,Грузовик,168583.0,35802.0,315485.0
194.0,12802.0,32.7,391.0,223.0,Одежда,Грузовик,108012.0,21068.0,109452.0
125.0,895.0,1.656307240601365,540.0,193.0,Продукты,Рефрижератор,189384.0,32886.0,322653.0
697.0,20380.0,45.7,446.0,195.0,Одежда,Грузовик,145969.0,22472.0,141978.0
977.0,8070.0,22.2,364.0,237.0,Одежда,Грузовик,193510.0,32160.0,222019.0
1431.0,5114.0,16.589601717068675,308.0,247.0,Мебель,Грузовик,152705.0,33138.0,302427.0
2488.0,644.0,2.1377981861322546,301.0,187.0,Продукты,Тент,110330.0,24033.0,269381.0
995.0,12497.0,39.20170617496504,319.0,195.0,Техника,Тент,171599.0,35306.0,228058.0
1239.0,8715.0,67.2,130.0,241.0,Мебель,Грузовик,191570.0,28757.0,307018.0
1042.0,1848.0,6.1,303.0,188.0,Продукты,Рефрижератор,112783.0,26450.0,239902.0
110.0,1226.0,2.7738428186527453,442.0,247.0,Продукты,Тент,119958.0,24185.0,146524.0
2785.0,1633.0,2.411155770161708,677.0,211.0,Продукты,Тент,122706.0,21214.0,316654.0
493.0,1802.0,3.0159328870913527,597.0,231.0,Продукты,Тент,140511.0,29011.0,204633.0
864.0,34978.0,33.3,1050.0,243.0,Стройматериалы,Грузовик,,,214314.0
444.0,20466.0,72.5,282.0,249.0,Стройматериалы,Грузовик,111752.0,20174.0,140365.0
1443.0,1697.0,14.9,114.0,184.0,Мебель,Грузовик,143985.0,31126.0,226203.0
2638.0,5182.0,25.7,202.0,189.0,Техника,Грузовик,143874.0,27876.0,250382.0
370.0,6987.0,15.9,439.0,221.0,Одежда,Тент,108007.0,16704.0,115719.0
1354.0,5958.0,13.6,438.0,224.0,Одежда,Тент,148487.0,28061.0,199163.0
157.0,29164.0,72.5,402.0,244.0,Стройматериалы,Грузовик,140252.0,33076.0,163902.0
2381.0,1377.0,12.7,108.0,196.0,Мебель,Тент,178025.0,39162.0,319876.0
2047.0,2593.0,19.2,135.0,214.0,Мебель,Грузовик,173121.0,39476.0,318467.0
2089.0,23482.0,9.9,2372.0,230.0,Стройматериалы,Тент,125027.0,18886.0,263311.0
1414.0,5727.0,17.3,331.0,248.0,Одежда,Тент,180941.0,27596.0,230423.0
2784.0,37984.0,21.4,1775.0,251.0,Стройматериалы,Грузовик,196348.0,48361.0,405023.0
1256.0,21113.0,18.2,1160.0,223.0,Стройматериалы,Тент,110873.0,16996.0,198211.0
1510.0,11465.0,29.6,387.0,237.0,Техника,Грузовик,180518.0,27213.0,259303.0
2095.0,8714.0,67.3,129.0,199.0,Мебель,Тент,107621.0,16416.0,263917.0
1633.0,1764.0,3.4545566656096622,511.0,209.0,Продукты,Тент,108218.0,21722.0,226201.0
646.0,396.0,0.9378167397393964,422.0,246.0,Продукты,Тент,170022.0,40732.0,284761.0
1048.0,30558.0,34.4,888.0,225.0,Стройматериалы,Тент,178382.0,38587.0,269927.0
366.0,27472.0,82.0,335.0,235.0,Стройматериалы,Грузовик,112981.0,24059.0,138387.0
1369.0,3369.0,17.654073161451837,191.0,245.0,Мебель,Грузовик,183160.0,34883.0,324863.0
1823.0,29601.0,88.6,334.0,181.0,Продукты,Грузовик,144693.0,33609.0,288643.0
442.0,23616.0,59.3,398.0,229.0,Одежда,Грузовик,183278.0,28848.0,181416.0
1954.0,10738.0,56.5,190.0,186.0,Мебель,Тент,149910.0,30969.0,280163.0
2741.0,27895.0,43.8,637.0,249.0,Одежда,Грузовик,169747.0,37723.0,304252.0
1099.0,14460.0,48.6,298.0,203.0,Техника,Тент,131896.0,24252.0,208119.0
687.0,1669.0,3.0601603111720856,545.0,194.0,Продукты,Рефрижератор,198132.0,35267.0,326579.0
2546.0,4188.0,34.6,121.0,208.0,Мебель,Грузовик,108147.0,21773.0,273368.0
2142.0,7273.0,35.6,204.0,246.0,Техника,Тент,190398.0,36621.0,324143.0
380.0,15232.0,38.9,392.0,248.0,Техника,Тент,,,184648.0
1324.0,1434.0,3.9755101776782302,361.0,226.0,Продукты,Тент,192357.0,29486.0,325373.0
1993.0,5322.0,11.9,447.0,222.0,Продукты,Грузовик,115666.0,23750.0,300846.0
1693.0,5992.0,43.4,138.0,201.0,Мебель,Грузовик,194654.0,38171.0,328518.0
1767.0,21274.0,10.2,2086.0,192.0,Стройматериалы,Грузовик,140892.0,23667.0,238902.0
1808.0,943.0,1.9173331310344928,492.0,231.0,Продукты,Тент,123716.0,19948.0,259851.0
2307.0,23114.0,44.2,523.0,190.0,Стройматериалы,Тент,199980.0,35002.0,319738.0
980.0,33985.0,33.0,1030.0,220.0,Стройматериалы,Грузовик,104152.0,22693.0,183202.0
2233.0,5184.0,30.3,171.0,230.0,Мебель,Грузовик,187113.0,31371.0,343462.0
2848.0,16848.0,36.8,458.0,183.0,Продукты,Грузовик,157441.0,27050.0,330597.0
1279.0,16281.0,40.0,407.0,258.0,Продукты,Грузовик,192696.0,44804.0,376954.0
2383.0,2051.0,13.8,149.0,191.0,Мебель,Тент,193738.0,47704.0,354813.0
788.0,5459.0,11.5,475.0,187.0,Продукты,Грузовик,161316.0,26703.0,226861.0
866.0,6948.0,38.3,181.0,237.0,Мебель,Тент,142074.0,34103.0,227103.0
2913.0,7431.0,23.4,318.0,252.0,Техника,Грузовик,192596.0,39554.0,373244.0
157.0,1340.0,2.100333145791993,638.0,229.0,Продукты,Тент,110453.0,25181.0,145485.0
724.0,15296.0,22.7,674.0,181.0,Продукты,Грузовик,108898.0,24223.0,167137.0
1445.0,22789.0,49.2,463.0,190.0,Стройматериалы,Тент,167210.0,36591.0,271645.0
1241.0,1418.0,3.8,373.0,227.0,Техника,Тент,123457.0,20103.0,199516.0
1925.0,30666.0,44.7,686.0,191.0,Одежда,Тент,180882.0,37621.0,265131.0
631.0,1694.0,4.264365816199283,397.0,204.0,Продукты,Тент,173051.0,40942.0,254456.0
,9813.0,14.33395359022155,685.0,187.0,Продукты,Грузовик,105972.0,22932.0,
1206.0,27408.0,28.6,958.0,182.0,Стройматериалы,Тент,147223.0,29989.0,216378.0
1668.0,3566.0,39.3,91.0,191.0,Мебель,Грузовик,124478.0,27946.0,225351.0
1724.0,20508.0,50.4,407.0,208.0,,Тент,119423.0,26419.0,210834.0
1894.0,15606.0,59.4,263.0,227.0,Стройматериалы,Грузовик,,,306090.0
1753.0,3714.0,13.8,269.0,220.0,Техника,Грузовик,130797.0,30637.0,230908.0
837.0,3589.0,39.6,91.0,220.0,Мебель,Грузовик,127050.0,20950.0,188993.0
2331.0,29893.0,24.5,1220.0,234.0,Стройматериалы,Грузовик,113308.0,20802.0,267788.0
325.0,34406.0,21.6,1593.0,216.0,Стройматериалы,Грузовик,180191.0,41320.0,237027.0
695.0,4098.0,21.9,187.0,251.0,Мебель,Грузовик,,,239523.0
2117.0,10529.0,39.8,265.0,243.0,Техника,Тент,115857.0,25608.0,232621.0
874.0,3709.0,13.1,283.0,196.0,Техника,Тент,170920.0,32210.0,199123.0
1555.0,29269.0,31.8,920.0,202.0,Стройматериалы,Тент,178923.0,33457.0,308229.0
1049.0,19378.0,35.1,552.0,248.0,Стройматериалы,Тент,115975.0,25105.0,211457.0
1507.0,13530.0,77.8,174.0,196.0,Мебель,Тент,131732.0,24095.0,240550.0
1052.0,18021.0,38.5,468.0,239.0,Стройматериалы,Грузовик,114088.0,22282.0,207155.0
3118.0,12084.0,19.7,613.0,253.0,Одежда,Грузовик,123805.0,27984.0,296542.0
1054.0,404.0,1.005129837204366,402.0,258.0,Продукты,Тент,100362.0,23780.0,228265.0
2009.0,27142.0,71.0,382.0,243.0,Техника,Грузовик,137741.0,26223.0,249234.0
2559.0,4549.0,10.040529044601454,453.0,230.0,Мебель,Грузовик,,,315988.0
1820.0,3061.0,33.4,92.0,188.0,Мебель,Тент,109542.0,18728.0,239079.0
1630.0,22851.0,12.5,1828.0,219.0,Стройматериалы,Тент,135964.0,25790.0,275605.0
1637.0,794.0,1.982932521753115,400.0,195.0,Продукты,Тент,170359.0,33405.0,296617.0
1565.0,30745.0,50.2,612.0,181.0,Стройматериалы,Тент,154812.0,27215.0,235051.0
2539.0,27829.0,76.6,363.0,237.0,Продукты,Грузовик,132917.0,26385.0,368686.0
222.0,8096.0,29.1,278.0,201.0,Техника,Грузовик,128475.0,20875.0,126090.0
2619.0,35047.0,55.9,627.0,255.0,Продукты,Грузовик,,,423279.0
1707.0,10769.0,24.29422863855348,443.0,220.0,Техника,Грузовик,160378.0,30165.0,240376.0
2432.0,7087.0,27.5,258.0,243.0,Техника,Тент,123255.0,23154.0,281674.0
118.0,11895.0,24.2,492.0,250.0,Одежда,Грузовик,143688.0,27953.0,136244.0
2699.0,33326.0,23.7,1406.0,209.0,Стройматериалы,Грузовик,175406.0,40091.0,367221.0
446.0,1888.0,20.8,91.0,236.0,Мебель,Тент,189000.0,37958.0,232724.0
2211.0,16167.0,45.3,357.0,215.0,Техника,Грузовик,164457.0,36007.0,281095.0
1344.0,10432.0,15.03804332680684,694.0,183.0,Мебель,Тент,120961.0,20072.0,201505.0
2164.0,31899.0,22.4,1424.0,246.0,Стройматериалы,Тент,130904.0,30403.0,310390.0
1963.0,5564.0,56.2,99.0,180.0,Мебель,Тент,143513.0,27131.0,270378.0
561.0,1499.0,2.469441483611296,607.0,260.0,Продукты,Тент,154901.0,36096.0,235224.0
1649.0,8855.0,34.0,260.0,252.0,Техника,Тент,115961.0,26985.0,206369.0
925.0,1965.0,2.9721668665681755,661.0,208.0,Продукты,Рефрижератор,136839.0,26891.0,305780.0
1652.0,1565.0,13.1,119.0,243.0,Мебель,Тент,125406.0,27269.0,257914.0
2217.0,11416.0,18.45866896117271,618.0,232.0,Одежда,Грузовик,131832.0,22262.0,225211.0
304.0,7123.0,11.9,599.0,217.0,Продукты,Грузовик,147553.0,29873.0,212050.0
1485.0,10850.0,35.1,309.0,230.0,Техника,Грузовик,139408.0,25626.0,199939.0
1792.0,23164.0,65.9,352.0,218.0,Стройматериалы,Грузовик,144751.0,22598.0,253466.0
976.0,35934.0,58.8,611.0,214.0,Одежда,Тент,154262.0,30675.0,201866.0
2737.0,5218.0,21.6,242.0,241.0,Техника,Грузовик,197487.0,35751.0,372766.0
1541.0,465.0,0.9747427570756512,477.0,183.0,Продукты,Тент,147386.0,31389.0,291910.0
619.0,24203.0,44.4,545.0,183.0,Одежда,Грузовик,,,148553.0
379.0,14209.0,8.2,1733.0,182.0,Стройматериалы,Тент,137691.0,33873.0,175440.0
1723.0,7607.0,90.2,84.0,240.0,Мебель,Тент,139411.0,30097.0,263233.0
1102.0,4590.0,26.8,171.0,234.0,Мебель,Тент,116798.0,25255.0,217845.0
620.0,371.0,0.7165157222481878,518.0,198.0,Продукты,Рефрижератор,166742.0,32017.0,317842.0
182.0,619.0,1.636470886313017,378.0,225.0,Продукты,Тент,168350.0,35892.0,242444.0
1818.0,28782.0,17.0,1693.0,189.0,Стройматериалы,Тент,138655.0,24294.0,265427.0
1838.0,15291.0,34.5,443.0,202.0,Продукты,Грузовик,131330.0,28989.0,261554.0
,922.0,2.372077495214702,389.0,195.0,Продукты,Тент,146446.0,30645.0,
1892.0,327.0,0.5699021430487504,574.0,241.0,Продукты,Тент,131474.0,23742.0,280360.0
2774.0,5775.0,42.7,135.0,245.0,Мебель,Грузовик,104888.0,23109.0,324624.0
3048.0,1850.0,3.5661426340710496,519.0,187.0,Продукты,Рефрижератор,129930.0,29622.0,391352.0
2592.0,13085.0,21.4,611.0,251.0,Одежда,Грузовик,168141.0,34219.0,310623.0
2437.0,12437.0,36.99230561569027,336.0,196.0,Мебель,Грузовик,146474.0,35308.0,334760.0
731.0,15471.0,31.7,488.0,235.0,Одежда,Грузовик,161204.0,24362.0,188835.0
514.0,7588.0,23.8,319.0,247.0,Одежда,Тент,113335.0,19791.0,140665.0
1317.0,17964.0,53.7,335.0,197.0,Стройматериалы,Грузовик,145800.0,27054.0,227721.0
1954.0,10791.0,34.3,315.0,206.0,Продукты,Грузовик,188015.0,43948.0,339023.0
2513.0,1734.0,3.9414960887531216,440.0,190.0,Продукты,Рефрижератор,101820.0,17228.0,356119.0
720.0,1874.0,26.4,71.0,243.0,Мебель,Тент,106962.0,24115.0,191448.0
1477.0,16018.0,58.5,274.0,231.0,Техника,Тент,195362.0,40443.0,279853.0
1846.0,1977.0,4.755426891656461,416.0,187.0,Продукты,Тент,158955.0,,309800.0
1335.0,940.0,1.8,522.0,210.0,Продукты,Тент,199933.0,43844.0,315775.0
1358.0,6372.0,11.4,559.0,188.0,Продукты,Грузовик,148254.0,25302.0,242225.0
746.0,4339.0,8.0789577016863,537.0,181.0,Мебель,Грузовик,192428.0,42022.0,240419.0
2954.0,11097.0,17.7,627.0,215.0,Продукты,Грузовик,126161.0,21031.0,357300.0
1531.0,1906.0,3.859139327657809,494.0,253.0,Продукты,Тент,156426.0,24703.0,290136.0
1613.0,1916.0,2.9400825159715187,652.0,198.0,Продукты,Рефрижератор,170223.0,37748.0,395384.0
755.0,19029.0,44.5,428.0,189.0,Стройматериалы,Тент,103979.0,25245.0,158375.0
1658.0,20897.0,38.5,543.0,207.0,Продукты,Грузовик,101070.0,15695.0,225928.0
796.0,26773.0,12.8,2092.0,211.0,Стройматериалы,Грузовик,190478.0,41944.0,256970.0
695.0,17697.0,55.6,318.0,204.0,Техника,Тент,199064.0,44741.0,220221.0
920.0,20793.0,31.7,656.0,243.0,Стройматериалы,Грузовик,190712.0,42762.0,286457.0
91.0,3004.0,22.9,131.0,259.0,Мебель,Грузовик,133778.0,25995.0,150464.0
1791.0,28065.0,49.5,567.0,238.0,Одежда,Грузовик,113169.0,22784.0,186060.0
1263.0,3008.0,22.0,137.0,192.0,Мебель,Грузовик,109177.0,23377.0,192284.0
2639.0,18891.0,57.340006502201774,329.0,190.0,Стройматериалы,Грузовик,158688.0,26774.0,304527.0
211.0,340.0,0.8747020795750335,389.0,222.0,Продукты,Рефрижератор,162084.0,27997.0,247925.0
203.0,17564.0,35.1,500.0,209.0,Стройматериалы,Грузовик,127240.0,25506.0,150899.0
2512.0,1448.0,2.387357006633696,607.0,195.0,Продукты,Тент,116294.0,20200.0,318939.0
432.0,7485.0,41.5,180.0,187.0,Мебель,Грузовик,197709.0,42811.0,240783.0
92.0,3556.0,27.1,131.0,252.0,Мебель,Грузовик,166947.0,35688.0,216160.0
579.0,7308.0,20.5,356.0,209.0,Техника,Грузовик,129200.0,27266.0,171995.0
2381.0,12853.0,68.5,188.0,258.0,Мебель,Тент,161463.0,29328.0,386813.0
2287.0,20228.0,70.0,289.0,194.0,Техника,Грузовик,196550.0,34461.0,302785.0
1067.0,29582.0,26.760239110442825,1105.0,232.0,Стройматериалы,Грузовик,108362.0,17346.0,165729.0
1970.0,1462.0,2.1455758101360987,681.0,186.0,Продукты,Тент,195711.0,44153.0,404966.0
1501.0,1660.0,3.235393139136489,513.0,252.0,Продукты,Тент,125756.0,19675.0,262614.0
2840.0,34411.0,61.4,560.0,231.0,Стройматериалы,Грузовик,160130.0,37211.0,334589.0
246.0,20195.0,63.9,316.0,216.0,Продукты,Грузовик,139220.0,31751.0,205053.0
2385.0,16234.0,50.6,321.0,189.0,Одежда,Тент,107592.0,17870.0,208274.0
608.0,18066.0,50.6,357.0,241.0,Техника,Тент,144399.0,29470.0,175831.0
1274.0,1777.0,4.539675437190628,391.0,217.0,Продукты,Тент,152205.0,25308.0,276427.0
626.0,1684.0,4.179041262877544,403.0,227.0,Продукты,Рефрижератор,139062.0,27260.0,256876.0
2133.0,18471.0,54.40185471731509,340.0,212.0,Стройматериалы,Грузовик,152738.0,32399.0,301905.0
2079.0,6650.0,3.2,2078.0,195.0,Стройматериалы,Грузовик,103254.0,24793.0,242718.0
1716.0,8994.0,26.5,339.0,219.0,Продукты,Грузовик,115981.0,19636.0,279669.0
1991.0,1261.0,1.8780007616657528,671.0,207.0,Продукты,Тент,,,351229.0
1968.0,2679.0,4.3,623.0,243.0,Одежда,Тент,175894.0,43763.0,301736.0
2229.0,7019.0,12.079987793672638,581.0,212.0,Техника,Тент,134540.0,21626.0,230285.0
765.0,23697.0,46.50671399389526,510.0,219.0,Продукты,Грузовик,184320.0,29201.0,287928.0
1280.0,4505.0,49.2,92.0,254.0,Мебель,Грузовик,120579.0,30097.0,228618.0
509.0,10921.0,20.9,523.0,199.0,Одежда,Грузовик,177988.0,,178765.0
1256.0,14548.0,64.8,225.0,196.0,Техника,Грузовик,,,203404.0
2062.0,2912.0,15.4,189.0,228.0,Мебель,Тент,142869.0,34116.0,298071.0
2160.0,1995.0,3.375922279655264,591.0,211.0,Продукты,Тент,179162.0,28410.0,371486.0
2218.0,2001.0,1.3,1539.0,207.0,Стройматериалы,Грузовик,143717.0,22714.0,248849.0
1034.0,4756.0,32.3,147.0,222.0,Мебель,Грузовик,137137.0,23674.0,222286.0
2068.0,31938.0,108.7,294.0,242.0,Техника,Грузовик,180557.0,32141.0,286346.0
1159.0,8994.0,37.3,241.0,187.0,Техника,Тент,149237.0,26130.0,210672.0
2947.0,8102.0,23.7,342.0,224.0,Техника,Грузовик,138418.0,29627.0,288188.0
1113.0,1506.0,2.637447133627924,571.0,218.0,Продукты,Тент,193606.0,32039.0,298836.0
1799.0,34734.0,22.3,1558.0,205.0,Стройматериалы,Грузовик,156049.0,33241.0,278632.0
2226.0,7620.0,28.2,270.0,211.0,Техника,Грузовик,110516.0,22424.0,234068.0
2715.0,2669.0,18.6,143.0,208.0,Мебель,Грузовик,164430.0,,317626.0
1361.0,445.0,1.0232664249447705,435.0,186.0,Продукты,Тент,193292.0,35006.0,300665.0
1074.0,5129.0,35.5,144.0,194.0,Мебель,Грузовик,163540.0,26880.0,225615.0
1276.0,14209.0,82.3,173.0,209.0,Мебель,Грузовик,116203.0,20184.0,189622.0
986.0,33867.0,28.94813146140343,1170.0,202.0,Стройматериалы,Грузовик,113926.0,24676.0,193731.0
1893.0,14359.0,42.94704804376728,334.0,227.0,Техника,Грузовик,143546.0,35523.0,249225.0
2655.0,4523.0,11.7,387.0,242.0,Одежда,Грузовик,101902.0,21725.0,250507.0
428.0,33759.0,46.9,720.0,208.0,Стройматериалы,Грузовик,,,170354.0
1783.0,1858.0,4.687514882946392,396.0,180.0,Техника,Тент,190784.0,35958.0,285910.0
2783.0,801.0,1.4125690469596586,567.0,237.0,Продукты,Тент,111518.0,19642.0,382846.0
354.0,19130.0,43.0,445.0,217.0,Продукты,Грузовик,174579.0,27196.0,228603.0
1536.0,1876.0,2.974012947440188,631.0,255.0,Продукты,Рефрижератор,184256.0,37542.0,476998.0
2654.0,2206.0,21.4,103.0,192.0,Мебель,Тент,119884.0,23038.0,298046.0
2688.0,20030.0,55.8,359.0,211.0,Стройматериалы,Тент,148348.0,33349.0,336624.0
1552.0,15726.0,65.3,241.0,225.0,Стройматериалы,Тент,120706.0,26644.0,235642.0
153.0,691.0,1.3548670638844065,510.0,205.0,Продукты,Тент,199353.0,47403.0,261281.0
376.0,2072.0,12.9,161.0,188.0,Мебель,Тент,125015.0,27793.0,187390.0
1680.0,3155.0,19.5,162.0,223.0,Мебель,Грузовик,115509.0,24903.0,239926.0
432.0,5746.0,68.8,84.0,260.0,Мебель,Грузовик,173419.0,28181.0,204190.0
491.0,4881.0,53.93978392802868,90.0,221.0,Мебель,Грузовик,154882.0,38487.0,216973.0
2213.0,6535.0,40.6,161.0,243.0,Мебель,Тент,182756.0,37504.0,389130.0
2213.0,8125.0,38.2,213.0,208.0,Техника,Тент,163176.0,27731.0,259560.0
2582.0,6038.0,20.1,300.0,209.0,Техника,Тент,111874.0,21198.0,244370.0
381.0,3797.0,26.0,146.0,205.0,Мебель,Тент,169222.0,31978.0,200578.0
660.0,11584.0,34.1,340.0,254.0,Одежда,Тент,160449.0,31571.0,179208.0
2425.0,5303.0,31.7,167.0,206.0,Мебель,Грузовик,166927.0,28843.0,356067.0
2260.0,32846.0,21.0,1564.0,235.0,Стройматериалы,Грузовик,187769.0,29594.0,342792.0
2295.0,29857.0,18.2,1640.0,194.0,Стройматериалы,Грузовик,175942.0,38720.0,317596.0
2816.0,3034.0,38.7,78.0,253.0,Мебель,Грузовик,,,344850.0
2525.0,3380.0,32.1,105.0,196.0,Мебель,Грузовик,117145.0,20666.0,275182.0
1542.0,26047.0,27.6,944.0,229.0,Стройматериалы,Грузовик,104648.0,23163.0,229369.0
957.0,8662.0,50.7,171.0,230.0,Мебель,Грузовик,120732.0,21976.0,209234.0
1637.0,15628.0,41.1,380.0,200.0,Техника,Тент,186183.0,37696.0,282444.0
1860.0,17525.0,25.7,682.0,227.0,Стройматериалы,Грузовик,149811.0,33209.0,273903.0
1063.0,24236.0,109.6,221.0,189.0,Одежда,Грузовик,113973.0,25556.0,143043.0
2293.0,3727.0,12.2,305.0,254.0,Продукты,Грузовик,140894.0,22629.0,359951.0
337.0,38495.0,56.598847331064526,680.0,209.0,Одежда,Тент,153843.0,36219.0,174863.0
2459.0,10997.0,18.2,604.0,210.0,Одежда,Тент,135071.0,28188.0,236384.0
172.0,4061.0,23.0,177.0,226.0,Мебель,Грузовик,185421.0,31354.0,233761.0
1507.0,6552.0,21.5,305.0,244.0,Техника,Грузовик,142843.0,35385.0,221481.0
2482.0,1437.0,4.16452730223986,345.0,223.0,Продукты,Тент,192262.0,34013.0,389791.0
336.0,1981.0,3.3583358727556845,590.0,254.0,Продукты,Тент,184310.0,38816.0,274179.0
1517.0,2696.0,12.2,221.0,246.0,Техника,Тент,184438.0,41810.0,284387.0
518.0,11179.0,31.7,353.0,239.0,Техника,Грузовик,124527.0,21976.0,159760.0
2618.0,11662.0,38.5,303.0,212.0,Техника,Грузовик,,,294990.0
2508.0,14380.0,8.5,1692.0,214.0,Стройматериалы,Тент,124401.0,27158.0,289844.0
2651.0,17983.0,105.9,170.0,204.0,Стройматериалы,Тент,146389.0,25970.0,301281.0
2741.0,21794.0,60.9,358.0,251.0,Продукты,Грузовик,158175.0,38705.0,440496.0
2287.0,6988.0,19.85776907399953,352.0,229.0,Техника,Тент,188244.0,44518.0,355533.0
589.0,10170.0,29.4,346.0,259.0,Техника,Грузовик,157551.0,29686.0,192157.0
1004.0,13958.0,39.4,354.0,229.0,Продукты,Грузовик,,,279845.0
1556.0,8943.0,15.2,588.0,227.0,Продукты,Грузовик,157912.0,38273.0,334459.0
1884.0,7626.0,73.6,104.0,223.0,Мебель,Грузовик,174040.0,41852.0,353232.0
2317.0,2679.0,1.7,1576.0,206.0,Стройматериалы,Тент,167829.0,28387.0,312075.0
725.0,605.0,1.2604779355526168,480.0,259.0,Продукты,Тент,193712.0,29606.0,283042.0
464.0,1005.0,1.9,529.0,259.0,Продукты,Тент,188114.0,43990.0,260759.0
1397.0,32020.0,20.8,1539.0,248.0,Стройматериалы,Тент,192734.0,44987.0,347404.0
520.0,2534.0,7.8,325.0,217.0,Одежда,Грузовик,171480.0,36030.0,178363.0
2130.0,6632.0,42.1,158.0,222.0,Мебель,Тент,174966.0,40791.0,335105.0
1817.0,4927.0,44.2,111.0,259.0,Мебель,Грузовик,128808.0,30462.0,301466.0
2147.0,5399.0,57.5,94.0,241.0,Мебель,Грузовик,180642.0,27459.0,315145.0
279.0,1890.0,4.341146951900735,435.0,183.0,Продукты,Тент,173591.0,40633.0,228901.0
2975.0,509.0,0.8115427974278016,627.0,229.0,Продукты,Рефрижератор,102665.0,15884.0,384379.0
86.0,923.0,1.850252330344752,499.0,215.0,Продукты,Тент,178649.0,37507.0,214226.0
1054.0,9521.0,69.8,136.0,253.0,Мебель,Грузовик,165959.0,28682.0,253460.0
1929.0,33005.0,106.2,311.0,217.0,Одежда,Грузовик,154579.0,29399.0,223334.0
203.0,33957.0,14.3,2375.0,234.0,Стройматериалы,Грузовик,150441.0,32772.0,167108.0
313.0,12518.0,32.3,388.0,250.0,Техника,Тент,157118.0,28806.0,181509.0
315.0,5174.0,29.7,174.0,186.0,Мебель,Тент,102945.0,22043.0,148443.0
1765.0,5223.0,17.6,297.0,214.0,Техника,Тент,139655.0,30911.0,227531.0
